Tactic call cbv;rewrite_strat(topdown) ran for 0.561 secs (0.559u,0.s) (success)
Params: n= 1 ,m= 127
Tactic call cbv;rewrite_strat(topdown) ran for 0.589 secs (0.588u,0.s) (success)
Params: n= 1 ,m= 128
Tactic call cbv;rewrite_strat(topdown) ran for 0.649 secs (0.647u,0.s) (success)
Params: n= 1 ,m= 129
Tactic call cbv;rewrite_strat(topdown) ran for 0.623 secs (0.623u,0.s) (success)
Params: n= 1 ,m= 130
Tactic call cbv;rewrite_strat(topdown) ran for 0.57 secs (0.572u,0.s) (success)
Params: n= 1 ,m= 131
Tactic call cbv;rewrite_strat(topdown) ran for 0.573 secs (0.571u,0.s) (success)
Params: n= 1 ,m= 132
Tactic call cbv;rewrite_strat(topdown) ran for 0.569 secs (0.567u,0.s) (success)
Params: n= 1 ,m= 133
Tactic call cbv;rewrite_strat(topdown) ran for 0.695 secs (0.695u,0.s) (success)
Params: n= 1 ,m= 134
Tactic call cbv;rewrite_strat(topdown) ran for 0.704 secs (0.704u,0.s) (success)
Params: n= 1 ,m= 135
Tactic call cbv;rewrite_strat(topdown) ran for 0.613 secs (0.615u,0.s) (success)
Params: n= 1 ,m= 136
Tactic call cbv;rewrite_strat(topdown) ran for 0.682 secs (0.679u,0.s) (success)
Params: n= 1 ,m= 137
Tactic call cbv;rewrite_strat(topdown) ran for 0.675 secs (0.675u,0.s) (success)
Params: n= 1 ,m= 138
Tactic call cbv;rewrite_strat(topdown) ran for 0.807 secs (0.804u,0.s) (success)
Params: n= 1 ,m= 139
Tactic call cbv;rewrite_strat(topdown) ran for 0.674 secs (0.672u,0.s) (success)
Params: n= 1 ,m= 140
Tactic call cbv;rewrite_strat(topdown) ran for 0.719 secs (0.719u,0.s) (success)
Params: n= 1 ,m= 141
Tactic call cbv;rewrite_strat(topdown) ran for 0.731 secs (0.728u,0.s) (success)
Params: n= 1 ,m= 142
Tactic call cbv;rewrite_strat(topdown) ran for 0.675 secs (0.676u,0.s) (success)
Params: n= 1 ,m= 143
Tactic call cbv;rewrite_strat(topdown) ran for 0.839 secs (0.835u,0.s) (success)
Params: n= 1 ,m= 144
Tactic call cbv;rewrite_strat(topdown) ran for 0.684 secs (0.684u,0.s) (success)
Params: n= 1 ,m= 145
Tactic call cbv;rewrite_strat(topdown) ran for 0.792 secs (0.783u,0.008s) (success)
Params: n= 1 ,m= 146
Tactic call cbv;rewrite_strat(topdown) ran for 0.704 secs (0.7u,0.004s) (success)
Params: n= 1 ,m= 147
Tactic call cbv;rewrite_strat(topdown) ran for 0.712 secs (0.711u,0.s) (success)
Params: n= 1 ,m= 148
Tactic call cbv;rewrite_strat(topdown) ran for 0.773 secs (0.771u,0.s) (success)
Params: n= 1 ,m= 149
Tactic call cbv;rewrite_strat(topdown) ran for 0.77 secs (0.768u,0.s) (success)
Params: n= 1 ,m= 150
Tactic call cbv;rewrite_strat(topdown) ran for 0.786 secs (0.787u,0.s) (success)
Params: n= 1 ,m= 151
Tactic call cbv;rewrite_strat(topdown) ran for 0.752 secs (0.756u,0.s) (success)
Params: n= 1 ,m= 152
Tactic call cbv;rewrite_strat(topdown) ran for 0.837 secs (0.835u,0.s) (success)
Params: n= 1 ,m= 153
Tactic call cbv;rewrite_strat(topdown) ran for 0.787 secs (0.788u,0.s) (success)
Params: n= 1 ,m= 154
Tactic call cbv;rewrite_strat(topdown) ran for 0.873 secs (0.871u,0.s) (success)
Params: n= 1 ,m= 155
Tactic call cbv;rewrite_strat(topdown) ran for 0.898 secs (0.899u,0.s) (success)
Params: n= 1 ,m= 156
Tactic call cbv;rewrite_strat(topdown) ran for 0.805 secs (0.804u,0.s) (success)
Params: n= 1 ,m= 157
Tactic call cbv;rewrite_strat(topdown) ran for 0.816 secs (0.816u,0.s) (success)
Params: n= 1 ,m= 158
Tactic call cbv;rewrite_strat(topdown) ran for 0.885 secs (0.884u,0.s) (success)
Params: n= 1 ,m= 159
Tactic call cbv;rewrite_strat(topdown) ran for 1.01 secs (1.012u,0.s) (success)
Params: n= 1 ,m= 160
Tactic call cbv;rewrite_strat(topdown) ran for 0.858 secs (0.859u,0.s) (success)
Params: n= 1 ,m= 161
Tactic call cbv;rewrite_strat(topdown) ran for 0.928 secs (0.927u,0.s) (success)
Params: n= 1 ,m= 162
Tactic call cbv;rewrite_strat(topdown) ran for 0.957 secs (0.955u,0.s) (success)
Params: n= 1 ,m= 163
Tactic call cbv;rewrite_strat(topdown) ran for 1.05 secs (1.051u,0.s) (success)
Params: n= 1 ,m= 164
Tactic call cbv;rewrite_strat(topdown) ran for 0.932 secs (0.932u,0.s) (success)
Params: n= 1 ,m= 165
Tactic call cbv;rewrite_strat(topdown) ran for 0.889 secs (0.891u,0.s) (success)
Params: n= 1 ,m= 166
Tactic call cbv;rewrite_strat(topdown) ran for 0.971 secs (0.972u,0.s) (success)
Params: n= 1 ,m= 167
Tactic call cbv;rewrite_strat(topdown) ran for 0.96 secs (0.96u,0.s) (success)
Params: n= 1 ,m= 168
Tactic call cbv;rewrite_strat(topdown) ran for 0.987 secs (0.987u,0.s) (success)
Params: n= 1 ,m= 169
Tactic call cbv;rewrite_strat(topdown) ran for 1.023 secs (1.015u,0.008s) (success)
Params: n= 1 ,m= 170
Tactic call cbv;rewrite_strat(topdown) ran for 1.365 secs (1.359u,0.008s) (success)
Params: n= 1 ,m= 171
Tactic call cbv;rewrite_strat(topdown) ran for 1.101 secs (1.1u,0.s) (success)
Params: n= 1 ,m= 172
Tactic call cbv;rewrite_strat(topdown) ran for 0.945 secs (0.944u,0.s) (success)
Params: n= 1 ,m= 173
Tactic call cbv;rewrite_strat(topdown) ran for 0.993 secs (0.992u,0.s) (success)
Params: n= 1 ,m= 174
Tactic call cbv;rewrite_strat(topdown) ran for 1.07 secs (1.068u,0.s) (success)
Params: n= 1 ,m= 175
Tactic call cbv;rewrite_strat(topdown) ran for 1.118 secs (1.119u,0.s) (success)
Params: n= 1 ,m= 176
Tactic call cbv;rewrite_strat(topdown) ran for 1.074 secs (1.076u,0.s) (success)
Params: n= 1 ,m= 177
Tactic call cbv;rewrite_strat(topdown) ran for 1.104 secs (1.103u,0.s) (success)
Params: n= 1 ,m= 178
Tactic call cbv;rewrite_strat(topdown) ran for 1.178 secs (1.176u,0.s) (success)
Params: n= 1 ,m= 179
