Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.189 secs (0.184u,0.004s) (success)
Tactic call reification ran for 0.197 secs (0.192u,0.004s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.003u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.011 secs (0.012u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.003 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.022 secs (0.024u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.967 secs (0.963u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.u,0.s) (success)
Tactic call rewriting ran for 0.997 secs (0.995u,0.s) (success)
Tactic call final_cbv ran for 0.076 secs (0.079u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.29 secs (1.287u,0.004s) (success)
Tactic call Rewrite_lhs_for ran for 1.29 secs (1.287u,0.004s) (success)
Params: n= 10 ,m= 28
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.003u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.004u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.145 secs (0.143u,0.s) (success)
Tactic call reification ran for 0.153 secs (0.151u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.003 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.015u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.967 secs (0.968u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.004u,0.s) (success)
Tactic call rewriting ran for 0.992 secs (0.992u,0.s) (success)
Tactic call final_cbv ran for 0.075 secs (0.076u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.241 secs (1.24u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.242 secs (1.24u,0.s) (success)
Params: n= 10 ,m= 29
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.145 secs (0.147u,0.s) (success)
Tactic call reification ran for 0.153 secs (0.151u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.005 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.02 secs (0.019u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.975 secs (0.972u,0.004s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.002 secs (1.u,0.004s) (success)
Tactic call final_cbv ran for 0.066 secs (0.064u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.243 secs (1.239u,0.004s) (success)
Tactic call Rewrite_lhs_for ran for 1.244 secs (1.239u,0.004s) (success)
Params: n= 10 ,m= 30
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.143 secs (0.143u,0.s) (success)
Tactic call reification ran for 0.151 secs (0.152u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.004u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.001 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.019u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.981 secs (0.975u,0.003s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.004 secs (0.004u,0.s) (success)
Tactic call rewriting ran for 1.006 secs (1.004u,0.003s) (success)
Tactic call final_cbv ran for 0.078 secs (0.079u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.256 secs (1.256u,0.003s) (success)
Tactic call Rewrite_lhs_for ran for 1.256 secs (1.256u,0.003s) (success)
Params: n= 10 ,m= 31
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.003u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.007 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.004u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.164 secs (0.163u,0.s) (success)
Tactic call reification ran for 0.172 secs (0.172u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.008u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.003 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.015u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.003 secs (1.004u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.004u,0.s) (success)
Tactic call rewriting ran for 1.028 secs (1.028u,0.s) (success)
Tactic call final_cbv ran for 0.069 secs (0.067u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.29 secs (1.288u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.29 secs (1.288u,0.s) (success)
Params: n= 10 ,m= 32
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.148 secs (0.151u,0.s) (success)
Tactic call reification ran for 0.156 secs (0.16u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.019u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.017 secs (1.02u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.004 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.044 secs (1.044u,0.s) (success)
Tactic call final_cbv ran for 0.072 secs (0.071u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.293 secs (1.291u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.294 secs (1.295u,0.s) (success)
Params: n= 10 ,m= 33
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.01 secs (0.012u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.003u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.171 secs (0.168u,0.s) (success)
Tactic call reification ran for 0.178 secs (0.176u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.003u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.012 secs (0.012u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.003 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.023 secs (0.024u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.02 secs (1.019u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.05 secs (1.051u,0.s) (success)
Tactic call final_cbv ran for 0.077 secs (0.076u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.329 secs (1.332u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.329 secs (1.332u,0.s) (success)
Params: n= 10 ,m= 34
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.004u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.007 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.161 secs (0.164u,0.s) (success)
Tactic call reification ran for 0.168 secs (0.167u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.015u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.041 secs (1.039u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.066 secs (1.064u,0.s) (success)
Tactic call final_cbv ran for 0.065 secs (0.068u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.321 secs (1.32u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.321 secs (1.32u,0.s) (success)
Params: n= 10 ,m= 35
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.146 secs (0.147u,0.s) (success)
Tactic call reification ran for 0.154 secs (0.155u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.008u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.015u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.086 secs (1.079u,0.004s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.u,0.s) (success)
Tactic call rewriting ran for 1.111 secs (1.103u,0.004s) (success)
Tactic call final_cbv ran for 0.069 secs (0.072u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.356 secs (1.351u,0.004s) (success)
Tactic call Rewrite_lhs_for ran for 1.356 secs (1.351u,0.004s) (success)
Params: n= 10 ,m= 36
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.145 secs (0.143u,0.s) (success)
Tactic call reification ran for 0.152 secs (0.151u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.004u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.006 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.008u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.02 secs (0.019u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.099 secs (1.1u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.127 secs (1.128u,0.s) (success)
Tactic call final_cbv ran for 0.07 secs (0.072u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.371 secs (1.372u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.371 secs (1.372u,0.s) (success)
Params: n= 10 ,m= 37
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.148 secs (0.147u,0.s) (success)
Tactic call reification ran for 0.155 secs (0.155u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.004u,0.s) (success)
