tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
1,72,220,336,0.207,0.027,0.003,0.14,0.655,0.196,1.216
1,73,223,339,0.199,0.023,0.003,0.143,0.655,0.199,1.259
2,31,225,457,0.199,0.027,0.003,0.096,0.652,0.168,1.267
1,74,226,342,0.208,0.028,0.004,0.148,0.679,0.204,1.271
3,14,226,690,0.208,0.032,0.008,0.051,0.603,0.123,1.184
1,75,229,345,0.208,0.024,0.004,0.151,0.699,0.215,1.307
1,76,232,348,0.207,0.028,0.004,0.156,0.716,0.199,1.34
2,32,232,464,0.2,0.028,0.008,0.099,0.688,0.18,1.396
1,77,235,351,0.204,0.024,0.004,0.16,0.731,0.212,1.396
1,78,238,354,0.203,0.024,0.003,0.167,0.739,0.227,1.475
2,33,239,471,0.196,0.024,0.004,0.104,0.692,0.183,1.371
1,79,241,357,0.208,0.032,0.004,0.167,0.772,0.211,1.408
3,15,241,705,0.203,0.032,0.008,0.06,0.672,0.143,1.323
1,80,244,360,0.204,0.024,0.004,0.172,0.795,0.243,1.448
2,34,246,478,0.203,0.028,0.004,0.115,0.743,0.192,1.423
1,81,247,363,0.211,0.032,0.004,0.179,0.791,0.247,1.468
4,7,249,1177,0.207,0.035,0.011,0.036,0.575,0.128,1.247
1,82,250,366,0.208,0.028,0.004,0.184,0.807,0.252,1.527
1,83,253,369,0.207,0.027,0.003,0.192,0.8,0.263,1.524
2,35,253,485,0.2,0.024,0.004,0.111,0.768,0.211,1.471
5,3,253,2109,0.208,0.04,0.016,0.095,0.492,0.136,0.999
6,1,255,3967,0.224,0.052,0.032,0.008,0.32,0.191,0.56
1,84,256,372,0.212,0.028,0.004,0.191,0.82,0.275,1.595
3,16,256,720,0.207,0.032,0.004,0.067,0.724,0.172,1.519
1,85,259,375,0.207,0.027,0.004,0.204,0.836,0.324,1.676
2,36,260,492,0.196,0.024,0.004,0.12,0.807,0.208,1.556
1,86,262,378,0.208,0.028,0.004,0.204,0.847,0.259,1.672
1,87,265,381,0.207,0.024,0.003,0.224,0.859,0.263,1.679
2,37,267,499,0.203,0.028,0.004,0.132,0.839,0.244,1.696
1,88,268,384,0.211,0.031,0.004,0.219,0.871,0.272,1.683
1,89,271,387,0.211,0.024,0.003,0.216,0.892,0.284,1.664
3,17,271,735,0.208,0.032,0.004,0.068,0.791,0.184,1.784
1,90,274,390,0.219,0.043,0.019,0.231,0.911,0.288,1.756
2,38,274,506,0.196,0.028,0.008,0.135,1.259,0.235,1.679
1,91,277,393,0.199,0.024,0.003,0.227,0.923,0.291,1.811
1,92,280,396,0.204,0.028,0.004,0.227,0.948,0.295,1.852
4,8,280,1208,0.208,0.031,0.008,0.039,0.684,0.152,1.556
2,39,281,513,0.196,0.028,0.008,0.144,0.928,0.24,1.832
1,93,283,399,0.211,0.024,0.004,0.24,0.975,0.304,1.799
1,94,286,402,0.208,0.028,0.004,0.227,0.987,0.304,1.867
3,18,286,750,0.203,0.028,0.008,0.079,0.816,0.199,1.844
2,40,288,520,0.195,0.024,0.003,0.151,0.955,0.24,1.94
1,95,289,405,0.211,0.028,0.004,0.236,1.004,0.315,1.884
1,96,292,408,0.207,0.027,0.003,0.243,1.035,0.324,1.963
1,97,295,411,0.216,0.031,0.003,0.248,1.04,0.344,2.032
2,41,295,527,0.2,0.028,0.004,0.16,1.008,0.248,1.975
1,98,298,414,0.204,0.024,0.004,0.251,1.031,0.419,2.047
1,99,301,417,0.207,0.027,0.003,0.256,1.064,0.379,2.072
3,19,301,765,0.211,0.032,0.008,0.092,0.867,0.231,1.867
2,42,302,534,0.199,0.027,0.007,0.163,1.048,0.283,1.936
1,100,304,420,0.208,0.024,0.004,0.268,1.072,0.356,2.028
1,101,307,423,0.207,0.027,0.003,0.268,1.088,0.367,2.155
2,43,309,541,0.2,0.028,0.008,0.171,1.059,0.268,2.048
1,102,310,426,0.207,0.027,0.003,0.275,1.1,0.356,2.208
4,9,311,1239,0.208,0.031,0.011,0.056,0.804,0.184,1.84
1,103,313,429,0.212,0.028,0.004,0.279,1.112,0.371,2.175
1,104,316,432,0.207,0.027,0.004,0.26,1.131,0.379,2.164
2,44,316,548,0.2,0.028,0.004,0.18,1.08,0.343,2.115
3,20,316,780,0.207,0.031,0.007,0.103,0.94,0.228,2.028
5,4,316,2172,0.211,0.04,0.016,0.027,0.683,0.164,1.548
1,105,319,435,0.211,0.028,0.004,0.267,1.167,0.388,2.268
1,106,322,438,0.204,0.027,0.003,0.272,1.196,0.391,2.415
2,45,323,555,0.199,0.028,0.007,0.187,1.099,0.364,2.203
1,107,325,441,0.207,0.027,0.003,0.271,1.216,0.384,2.32
1,108,328,444,0.208,0.028,0.004,0.295,1.239,0.432,2.311
2,46,330,562,0.2,0.028,0.008,0.203,1.144,0.344,2.316
1,109,331,447,0.207,0.027,0.003,0.292,1.236,0.491,2.352
3,21,331,795,0.208,0.032,0.008,0.112,1.003,0.248,2.251
1,110,334,450,0.208,0.028,0.004,0.307,1.235,0.46,2.468
1,111,337,453,0.211,0.028,0.004,0.303,1.26,0.436,2.551
2,47,337,569,0.196,0.028,0.004,0.204,1.2,0.327,2.516
1,112,340,456,0.211,0.028,0.004,0.315,1.279,0.423,2.468
4,10,342,1270,0.207,0.036,0.011,0.063,0.9,0.207,2.195
1,113,343,459,0.211,0.031,0.007,0.327,1.3,0.468,2.492
2,48,344,576,0.203,0.028,0.008,0.211,1.223,0.327,2.519
1,114,346,462,0.211,0.027,0.003,0.332,1.307,0.448,2.543
3,22,346,810,0.207,0.028,0.008,0.123,1.072,0.256,2.412
1,115,349,465,0.212,0.028,0.004,0.332,1.335,0.455,2.727
2,49,351,583,0.2,0.028,0.004,0.223,1.256,0.355,2.491
1,116,352,468,0.211,0.031,0.004,0.32,1.367,0.452,2.628
1,117,355,471,0.212,0.028,0.004,0.332,1.408,0.46,3.48
1,118,358,474,0.219,0.036,0.007,0.335,1.42,0.468,2.699
2,50,358,590,0.208,0.032,0.004,0.228,1.288,0.4,2.667
1,119,361,477,0.211,0.027,0.003,0.344,1.415,0.596,2.82
3,23,361,825,0.211,0.031,0.004,0.132,1.152,0.291,2.579
1,120,364,480,0.208,0.028,0.004,0.347,1.423,0.564,2.883
2,51,365,597,0.199,0.028,0.004,0.247,1.324,0.379,2.748
1,121,367,483,0.207,0.028,0.004,0.356,1.444,0.496,2.843
1,122,370,486,0.211,0.031,0.007,0.355,1.463,0.5,2.867
2,52,372,604,0.208,0.032,0.004,0.248,1.384,0.387,2.884
1,123,373,489,0.211,0.027,0.003,0.364,1.48,0.672,3.008
4,11,373,1301,0.211,0.031,0.011,0.079,1.043,0.251,2.715
1,124,376,492,0.211,0.031,0.004,0.371,1.495,0.535,3.015
3,24,376,840,0.211,0.031,0.007,0.14,1.199,0.331,2.804
1,125,379,495,0.212,0.028,0.004,0.371,1.519,0.519,2.944
2,53,379,611,0.203,0.032,0.008,0.256,1.432,0.408,2.996
5,5,379,2235,0.22,0.039,0.019,0.039,0.92,0.208,2.212
1,126,382,498,0.215,0.031,0.004,0.379,1.567,0.559,3.123
6,2,382,4094,0.232,0.051,0.032,0.024,0.691,0.248,1.575
1,127,385,501,0.216,0.036,0.004,0.383,1.587,0.588,3.135
2,54,386,618,0.203,0.027,0.007,0.264,1.488,0.447,3.003
1,128,388,504,0.216,0.028,0.004,0.391,1.624,0.647,3.104
1,129,391,507,0.207,0.027,0.007,0.42,1.596,0.623,3.12
3,25,391,855,0.204,0.028,0.008,0.155,1.291,0.36,3.096
2,55,393,625,0.204,0.028,0.008,0.275,1.548,0.432,3.152
1,130,394,510,0.211,0.027,0.003,0.431,1.615,0.572,3.24
1,131,397,513,0.212,0.028,0.004,0.435,1.635,0.571,3.224
1,132,400,516,0.216,0.031,0.003,0.435,1.647,0.567,3.239
2,56,400,632,0.203,0.028,0.007,0.292,1.599,0.48,3.156
1,133,403,519,0.216,0.031,0.007,0.487,1.68,0.695,3.331
4,12,404,1332,0.216,0.035,0.011,0.096,1.155,0.276,3.071
1,134,406,522,0.211,0.027,0.003,0.483,1.739,0.704,3.431
3,26,406,870,0.211,0.036,0.012,0.163,1.36,0.36,3.124
2,57,407,639,0.204,0.032,0.004,0.299,1.647,0.451,3.283
1,135,409,525,0.211,0.028,0.004,0.483,1.768,0.615,3.403
1,136,412,528,0.211,0.027,0.003,0.488,1.78,0.679,3.539
2,58,414,646,0.211,0.036,0.004,0.711,1.62,0.468,3.496
1,137,415,531,0.22,0.032,0.004,0.503,1.759,0.675,3.563
1,138,418,534,0.223,0.036,0.012,0.504,1.788,0.804,3.516
1,139,421,537,0.216,0.028,0.004,0.507,1.804,0.672,3.447
2,59,421,653,0.203,0.028,0.004,0.324,1.683,0.48,3.467
3,27,421,885,0.207,0.032,0.008,0.18,1.423,0.364,3.372
1,140,424,540,0.216,0.032,0.008,0.516,1.819,0.719,3.647
1,141,427,543,0.216,0.028,0.004,0.516,1.876,0.728,3.48
2,60,428,660,0.204,0.028,0.008,0.336,1.751,0.495,3.584
1,142,430,546,0.215,0.031,0.004,0.532,1.915,0.676,3.584
1,143,433,549,0.22,0.036,0.007,0.539,1.923,0.835,3.631
2,61,435,667,0.211,0.032,0.004,0.352,1.788,0.56,3.767
4,13,435,1363,0.207,0.035,0.011,0.112,1.291,0.324,3.352
1,144,436,552,0.219,0.031,0.007,0.56,1.916,0.684,3.66
3,28,436,900,0.207,0.031,0.007,0.188,1.519,0.391,3.591
1,145,439,555,0.216,0.027,0.003,0.588,1.935,0.783,3.719
1,146,442,558,0.211,0.027,0.003,0.579,1.932,0.7,3.727
2,62,442,674,0.203,0.028,0.007,0.371,1.819,0.527,3.951
5,6,442,2298,0.223,0.044,0.019,0.06,1.119,0.263,3.035
1,147,445,561,0.211,0.028,0.007,0.615,1.979,0.711,3.776
