tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
4,604,18756,19684,0.468,0.216,0.172,,,,
5,297,18775,20631,0.428,0.22,0.18,,,,
4,605,18787,19715,0.463,0.215,0.175,,,,
6,147,18797,22509,0.423,0.224,0.192,,,,
4,606,18818,19746,0.472,0.22,0.176,,,,
5,298,18838,20694,0.428,0.216,0.18,,,,
4,607,18849,19777,0.468,0.215,0.172,,,,
7,73,18871,26295,0.443,0.251,0.22,,,,
4,608,18880,19808,0.475,0.22,0.176,,,,
5,299,18901,20757,0.432,0.216,0.18,,,,
8,36,18908,33756,0.5,0.296,0.279,25.74,,,
4,609,18911,19839,0.471,0.22,0.176,,,,
6,148,18924,22636,0.415,0.224,0.192,,,,
4,610,18942,19870,0.476,0.224,0.176,,,,
5,300,18964,20820,0.435,0.216,0.18,,,,
4,611,18973,19901,0.468,0.22,0.167,,,,
4,612,19004,19932,0.471,0.224,0.167,,,,
5,301,19027,20883,0.436,0.223,0.183,,,,
4,613,19035,19963,0.467,0.219,0.171,,,,
6,149,19051,22763,0.412,0.22,0.192,,,,
4,614,19066,19994,0.471,0.215,0.171,,,,
5,302,19090,20946,0.435,0.216,0.18,,,,
4,615,19097,20025,0.483,0.223,0.175,,,,
7,74,19126,26550,0.432,0.239,0.211,,,,
4,616,19128,20056,0.471,0.22,0.179,,,,
5,303,19153,21009,0.435,0.216,0.183,,,,
4,617,19159,20087,0.475,0.223,0.175,,,,
6,150,19178,22890,0.423,0.223,0.187,,,,
4,618,19190,20118,0.48,0.22,0.176,,,,
5,304,19216,21072,0.44,0.224,0.183,,,,
4,619,19221,20149,0.484,0.224,0.18,,,,
4,620,19252,20180,0.471,0.223,0.172,,,,
5,305,19279,21135,0.435,0.219,0.175,,,,
4,621,19283,20211,0.48,0.223,0.183,,,,
6,151,19305,23017,0.42,0.223,0.195,,,,
4,622,19314,20242,0.476,0.219,0.171,,,,
5,306,19342,21198,0.432,0.22,0.183,,,,
4,623,19345,20273,0.475,0.223,0.179,,,,
4,624,19376,20304,0.488,0.228,0.18,,,,
7,75,19381,26805,0.436,0.248,0.22,,,,
5,307,19405,21261,0.44,0.22,0.183,,,,
4,625,19407,20335,0.475,0.223,0.18,,,,
8,37,19419,34267,0.516,0.315,0.283,27.064,,,
6,152,19432,23144,0.411,0.219,0.192,,,,
4,626,19438,20366,0.484,0.223,0.179,,,,
9,18,19438,49134,0.644,0.432,0.407,14.108,,,
5,308,19468,21324,0.435,0.219,0.183,,,,
4,627,19469,20397,0.48,0.223,0.179,,,,
4,628,19500,20428,0.48,0.223,0.18,,,,
4,629,19531,20459,0.475,0.223,0.172,,,,
5,309,19531,21387,0.44,0.224,0.184,,,,
6,153,19559,23271,0.427,0.227,0.199,,,,
4,630,19562,20490,0.475,0.22,0.172,,,,
4,631,19593,20521,0.476,0.224,0.175,,,,
5,310,19594,21450,0.443,0.228,0.192,,,,
4,632,19624,20552,0.475,0.223,0.18,,,,
7,76,19636,27060,0.451,0.255,0.228,,,,
4,633,19655,20583,0.484,0.227,0.179,,,,
5,311,19657,21513,0.435,0.223,0.188,,,,
4,634,19686,20614,0.48,0.223,0.179,,,,
6,154,19686,23398,0.415,0.223,0.195,,,,
4,635,19717,20645,0.487,0.231,0.18,,,,
5,312,19720,21576,0.436,0.224,0.188,,,,
4,636,19748,20676,0.484,0.227,0.183,,,,
4,637,19779,20707,0.556,0.228,0.175,,,,
5,313,19783,21639,0.44,0.223,0.187,,,,
4,638,19810,20738,0.484,0.231,0.183,,,,
6,155,19813,23525,0.423,0.224,0.195,,,,
4,639,19841,20769,0.463,0.219,0.179,,,,
5,314,19846,21702,0.44,0.22,0.187,,,,
4,640,19872,20800,0.471,0.223,0.18,,,,
7,77,19891,27315,0.452,0.255,0.228,,,,
4,641,19903,20831,0.468,0.22,0.18,,,,
5,315,19909,21765,0.439,0.223,0.188,,,,
8,38,19930,34778,0.523,0.323,0.296,27.823,,,
4,642,19934,20862,0.476,0.223,0.176,,,,
6,156,19940,23652,0.424,0.228,0.195,,,,
4,643,19965,20893,0.468,0.22,0.18,,,,
5,316,19972,21828,0.443,0.228,0.188,,,,
4,644,19996,20924,0.471,0.22,0.172,,,,
4,645,20027,20955,0.468,0.22,0.175,,,,
5,317,20035,21891,0.44,0.223,0.187,,,,
4,646,20058,20986,0.471,0.22,0.18,,,,
6,157,20067,23779,0.42,0.231,0.2,,,,
4,647,20089,21017,0.476,0.223,0.179,,,,
5,318,20098,21954,0.44,0.228,0.18,,,,
4,648,20120,21048,0.468,0.22,0.172,,,,
7,78,20146,27570,0.451,0.26,0.231,,,,
4,649,20151,21079,0.483,0.227,0.183,,,,
5,319,20161,22017,0.44,0.228,0.192,,,,
4,650,20182,21110,0.468,0.224,0.18,,,,
6,158,20194,23906,0.42,0.227,0.199,,,,
4,651,20213,21141,0.48,0.223,0.179,,,,
5,320,20224,22080,0.44,0.227,0.191,,,,
4,652,20244,21172,0.475,0.227,0.18,,,,
4,653,20275,21203,0.476,0.228,0.175,,,,
5,321,20287,22143,0.447,0.231,0.183,,,,
4,654,20306,21234,0.475,0.227,0.183,,,,
6,159,20321,24033,0.431,0.231,0.2,,,,
4,655,20337,21265,0.476,0.223,0.18,,,,
5,322,20350,22206,0.44,0.223,0.192,,,,
4,656,20368,21296,0.468,0.228,0.183,,,,
4,657,20399,21327,0.471,0.223,0.183,,,,
7,79,20401,27825,0.456,0.264,0.236,,,,
5,323,20413,22269,0.451,0.231,0.192,,,,
4,658,20430,21358,0.488,0.231,0.18,,,,
8,39,20441,35289,0.54,0.336,0.307,30.519,,,
6,160,20448,24160,0.427,0.231,0.203,,,,
4,659,20461,21389,0.488,0.231,0.183,,,,
9,19,20461,50157,0.671,0.452,0.423,15.399,,,
10,9,20471,79863,0.884,0.647,0.623,,,,
5,324,20476,22332,0.443,0.228,0.188,,,,
11,4,20476,139260,1.407,1.076,1.048,,,,
4,660,20492,21420,0.496,0.236,0.188,,,,
4,661,20523,21451,0.484,0.232,0.184,,,,
5,325,20539,22395,0.443,0.227,0.192,,,,
4,662,20554,21482,0.491,0.235,0.187,,,,
6,161,20575,24287,0.42,0.228,0.199,,,,
4,663,20585,21513,0.491,0.231,0.179,,,,
5,326,20602,22458,0.443,0.231,0.192,,,,
4,664,20616,21544,0.495,0.231,0.188,,,,
4,665,20647,21575,0.5,0.235,0.187,,,,
7,80,20656,28080,0.46,0.263,0.239,,,,
5,327,20665,22521,0.444,0.232,0.196,,,,
4,666,20678,21606,0.487,0.231,0.187,,,,
6,162,20702,24414,0.432,0.24,0.203,,,,
4,667,20709,21637,0.495,0.235,0.18,,,,
5,328,20728,22584,0.451,0.232,0.188,,,,
4,668,20740,21668,0.488,0.235,0.187,,,,
4,669,20771,21699,0.5,0.235,0.187,,,,
5,329,20791,22647,0.448,0.227,0.195,,,,
4,670,20802,21730,0.5,0.24,0.187,,,,
6,163,20829,24541,0.436,0.235,0.199,,,,
4,671,20833,21761,0.495,0.236,0.188,,,,
5,330,20854,22710,0.459,0.231,0.195,,,,
4,672,20864,21792,0.5,0.24,0.187,,,,
4,673,20895,21823,0.495,0.236,0.192,,,,
7,81,20911,28335,0.467,0.268,0.244,,,,
5,331,20917,22773,0.451,0.231,0.195,,,,
4,674,20926,21854,0.504,0.244,0.192,,,,
8,40,20952,35800,0.555,0.34,0.311,31.015,,,
6,164,20956,24668,0.431,0.235,0.208,,,,
4,675,20957,21885,0.491,0.235,0.192,,,,
5,332,20980,22836,0.451,0.235,0.199,,,,
4,676,20988,21916,0.495,0.231,0.188,,,,
4,677,21019,21947,0.504,0.24,0.192,,,,
5,333,21043,22899,0.447,0.231,0.195,,,,
4,678,21050,21978,0.496,0.24,0.192,,,,
4,679,21081,22009,0.5,0.24,0.183,,,,
6,165,21083,24795,0.436,0.235,0.207,,,,
5,334,21106,22962,0.456,0.236,0.196,,,,
4,680,21112,22040,0.496,0.235,0.192,,,,
4,681,21143,22071,0.507,0.243,0.192,,,,
7,82,21166,28590,0.452,0.255,0.235,,,,
5,335,21169,23025,0.451,0.232,0.196,,,,
4,682,21174,22102,0.5,0.235,0.192,,,,
4,683,21205,22133,0.5,0.239,0.183,,,,
6,166,21210,24922,0.44,0.239,0.208,,,,
5,336,21232,23088,0.448,0.236,0.195,,,,
4,684,21236,22164,0.504,0.239,0.191,,,,
4,685,21267,22195,0.5,0.235,0.191,,,,
5,337,21295,23151,0.455,0.236,0.195,,,,
4,686,21298,22226,0.516,0.252,0.2,,,,
4,687,21329,22257,0.511,0.251,0.203,,,,
6,167,21337,25049,0.435,0.239,0.211,,,,
5,338,21358,23214,0.451,0.235,0.195,,,,
4,688,21360,22288,0.528,0.251,0.2,,,,
4,689,21391,22319,0.515,0.248,0.2,,,,
5,339,21421,23277,0.455,0.236,0.2,,,,
7,83,21421,28845,0.46,0.263,0.243,,,,
4,690,21422,22350,0.504,0.24,0.192,,,,
4,691,21453,22381,0.519,0.252,0.204,,,,
8,41,21463,36311,0.528,0.327,0.3,,,,
6,168,21464,25176,0.443,0.239,0.208,,,,
4,692,21484,22412,0.519,0.255,0.207,,,,
5,340,21484,23340,0.456,0.235,0.195,,,,
9,20,21484,51180,0.667,0.448,0.423,17.408,,,
4,693,21515,22443,0.528,0.26,0.203,,,,
4,694,21546,22474,0.523,0.256,0.204,,,,
5,341,21547,23403,0.455,0.24,0.2,,,,
4,695,21577,22505,0.519,0.251,0.2,,,,
6,169,21591,25303,0.435,0.24,0.211,,,,
4,696,21608,22536,0.511,0.244,0.192,,,,
5,342,21610,23466,0.456,0.239,0.203,,,,
4,697,21639,22567,0.5,0.24,0.195,,,,
4,698,21670,22598,0.511,0.248,0.196,,,,
5,343,21673,23529,0.455,0.236,0.2,,,,
7,84,21676,29100,0.467,0.275,0.248,,,,
4,699,21701,22629,0.508,0.243,0.192,,,,
6,170,21718,25430,0.432,0.235,0.207,,,,
4,700,21732,22660,0.507,0.243,0.195,,,,
5,344,21736,23592,0.464,0.24,0.2,,,,
4,701,21763,22691,0.516,0.251,0.196,,,,
4,702,21794,22722,0.508,0.244,0.187,,,,
5,345,21799,23655,0.463,0.243,0.195,,,,
4,703,21825,22753,0.516,0.248,0.2,,,,
6,171,21845,25557,0.447,0.248,0.215,,,,
4,704,21856,22784,0.511,0.251,0.2,,,,
5,346,21862,23718,0.463,0.24,0.196,,,,
4,705,21887,22815,0.507,0.243,0.195,,,,
4,706,21918,22846,0.508,0.248,0.204,,,,
5,347,21925,23781,0.455,0.24,0.204,,,,
7,85,21931,29355,0.475,0.28,0.256,,,,
4,707,21949,22877,0.511,0.247,0.199,,,,
6,172,21972,25684,0.443,0.244,0.215,,,,
8,42,21974,36822,0.523,0.328,0.307,,,,
4,708,21980,22908,0.508,0.243,0.192,,,,
5,348,21988,23844,0.468,0.243,0.203,,,,
4,709,22011,22939,0.511,0.248,0.195,,,,
4,710,22042,22970,0.519,0.247,0.199,,,,
5,349,22051,23907,0.463,0.244,0.203,,,,
4,711,22073,23001,0.511,0.251,0.2,,,,
6,173,22099,25811,0.44,0.24,0.211,,,,
4,712,22104,23032,0.511,0.248,0.2,,,,
5,350,22114,23970,0.464,0.24,0.2,,,,
4,713,22135,23063,0.519,0.251,0.195,,,,
4,714,22166,23094,0.508,0.248,0.2,,,,
5,351,22177,24033,0.467,0.244,0.208,,,,
7,86,22186,29610,0.472,0.276,0.252,,,,
4,715,22197,23125,0.519,0.252,0.2,,,,
6,174,22226,25938,0.447,0.248,0.219,,,,
4,716,22228,23156,0.508,0.248,0.203,,,,
5,352,22240,24096,0.463,0.247,0.203,,,,
4,717,22259,23187,0.519,0.251,0.203,,,,
4,718,22290,23218,0.519,0.251,0.203,,,,
5,353,22303,24159,0.468,0.248,0.208,,,,
4,719,22321,23249,0.511,0.251,0.203,,,,
4,720,22352,23280,0.527,0.255,0.203,,,,
6,175,22353,26065,0.447,0.248,0.216,,,,
5,354,22366,24222,0.463,0.243,0.207,,,,
4,721,22383,23311,0.511,0.251,0.2,,,,
4,722,22414,23342,0.527,0.256,0.211,,,,
5,355,22429,24285,0.471,0.243,0.207,,,,
7,87,22441,29865,0.46,0.268,0.24,,,,
4,723,22445,23373,0.524,0.252,0.204,,,,
4,724,22476,23404,0.511,0.251,0.203,,,,
6,176,22480,26192,0.44,0.244,0.215,,,,
8,43,22485,37333,0.552,0.351,0.323,,,,
5,356,22492,24348,0.463,0.244,0.203,,,,
4,725,22507,23435,0.523,0.251,0.2,,,,
9,21,22507,52203,0.672,0.452,0.423,18.016,,,
10,10,22518,81910,0.895,0.659,0.635,,,,
4,726,22538,23466,0.511,0.247,0.195,,,,
5,357,22555,24411,0.471,0.244,0.2,,,,
4,727,22569,23497,0.523,0.251,0.203,,,,
4,728,22600,23528,0.519,0.251,0.195,,,,
6,177,22607,26319,0.447,0.251,0.22,,,,
5,358,22618,24474,0.468,0.243,0.211,,,,
4,729,22631,23559,0.519,0.251,0.208,,,,
4,730,22662,23590,0.528,0.256,0.203,,,,
5,359,22681,24537,0.471,0.248,0.208,,,,
4,731,22693,23621,0.519,0.248,0.203,,,,
7,88,22696,30120,0.48,0.279,0.255,,,,
4,732,22724,23652,0.528,0.251,0.203,,,,
6,178,22734,26446,0.443,0.248,0.219,,,,
5,360,22744,24600,0.471,0.248,0.208,,,,
4,733,22755,23683,0.511,0.247,0.195,,,,
4,734,22786,23714,0.519,0.251,0.203,,,,
5,361,22807,24663,0.48,0.252,0.211,,,,
4,735,22817,23745,0.523,0.256,0.2,,,,
4,736,22848,23776,0.528,0.256,0.208,,,,
6,179,22861,26573,0.448,0.251,0.223,,,,
5,362,22870,24726,0.471,0.248,0.211,,,,
4,737,22879,23807,0.528,0.251,0.208,,,,
4,738,22910,23838,0.524,0.259,0.208,,,,
5,363,22933,24789,0.476,0.252,0.207,,,,
4,739,22941,23869,0.524,0.256,0.208,,,,
7,89,22951,30375,0.476,0.279,0.251,,,,
4,740,22972,23900,0.528,0.259,0.208,,,,
6,180,22988,26700,0.451,0.251,0.219,,,,
5,364,22996,24852,0.468,0.243,0.203,,,,
8,44,22996,37844,0.572,0.359,0.328,,,,
4,741,23003,23931,0.519,0.255,0.207,,,,
4,742,23034,23962,0.523,0.256,0.203,,,,
5,365,23059,24915,0.471,0.251,0.208,,,,
4,743,23065,23993,0.528,0.256,0.208,,,,
4,744,23096,24024,0.519,0.251,0.203,,,,
6,181,23115,26827,0.452,0.251,0.223,,,,
5,366,23122,24978,0.471,0.251,0.215,,,,
4,745,23127,24055,0.536,0.259,0.208,,,,
4,746,23158,24086,0.515,0.255,0.2,,,,
5,367,23185,25041,0.471,0.251,0.215,,,,
4,747,23189,24117,0.536,0.264,0.211,,,,
7,90,23206,30630,0.48,0.279,0.255,,,,
4,748,23220,24148,0.519,0.251,0.203,,,,
6,182,23242,26954,0.451,0.255,0.228,,,,
5,368,23248,25104,0.475,0.255,0.211,,,,
4,749,23251,24179,0.532,0.255,0.207,,,,
4,750,23282,24210,0.519,0.251,0.199,,,,
5,369,23311,25167,0.471,0.256,0.211,,,,
4,751,23313,24241,0.528,0.256,0.211,,,,
4,752,23344,24272,0.528,0.256,0.204,,,,
6,183,23369,27081,0.456,0.251,0.224,,,,
5,370,23374,25230,0.48,0.256,0.216,,,,
4,753,23375,24303,0.531,0.256,0.208,,,,
4,754,23406,24334,0.528,0.255,0.203,,,,
4,755,23437,24365,0.531,0.263,0.208,,,,
5,371,23437,25293,0.476,0.251,0.211,,,,
7,91,23461,30885,0.475,0.284,0.255,,,,
4,756,23468,24396,0.524,0.256,0.203,,,,
6,184,23496,27208,0.456,0.255,0.219,,,,
4,757,23499,24427,0.54,0.263,0.211,,,,
5,372,23500,25356,0.48,0.255,0.215,,,,
8,45,23507,38355,0.547,0.344,0.315,,,,
4,758,23530,24458,0.523,0.252,0.204,,,,
9,22,23530,53226,0.663,0.451,0.423,20.747,,,
4,759,23561,24489,0.528,0.259,0.211,,,,
5,373,23563,25419,0.479,0.256,0.215,,,,
4,760,23592,24520,0.528,0.263,0.207,,,,
4,761,23623,24551,0.535,0.259,0.211,,,,
6,185,23623,27335,0.456,0.255,0.224,,,,
5,374,23626,25482,0.472,0.248,0.215,,,,
4,762,23654,24582,0.532,0.263,0.211,,,,
4,763,23685,24613,0.528,0.259,0.211,,,,
5,375,23689,25545,0.483,0.255,0.215,,,,
4,764,23716,24644,0.536,0.259,0.211,,,,
7,92,23716,31140,0.484,0.284,0.255,,,,
4,765,23747,24675,0.539,0.264,0.211,,,,
6,186,23750,27462,0.459,0.259,0.228,,,,
5,376,23752,25608,0.475,0.255,0.219,,,,
4,766,23778,24706,0.531,0.259,0.211,,,,
4,767,23809,24737,0.539,0.263,0.211,,,,
5,377,23815,25671,0.483,0.256,0.216,,,,
4,768,23840,24768,0.532,0.264,0.211,,,,
4,769,23871,24799,0.536,0.263,0.208,,,,
6,187,23877,27589,0.455,0.255,0.228,,,,
5,378,23878,25734,0.48,0.252,0.211,,,,
4,770,23902,24830,0.54,0.268,0.211,,,,
4,771,23933,24861,0.531,0.259,0.207,,,,
5,379,23941,25797,0.488,0.259,0.215,,,,
4,772,23964,24892,0.539,0.263,0.211,,,,
7,93,23971,31395,0.475,0.276,0.251,,,,
4,773,23995,24923,0.532,0.264,0.216,,,,
5,380,24004,25860,0.48,0.256,0.211,,,,
6,188,24004,27716,0.472,0.271,0.236,,,,
8,46,24018,38866,0.564,0.363,0.331,,,,
4,774,24026,24954,0.539,0.263,0.215,,,,
4,775,24057,24985,0.539,0.268,0.216,,,,
5,381,24067,25923,0.488,0.263,0.215,,,,
4,776,24088,25016,0.536,0.259,0.204,,,,
4,777,24119,25047,0.544,0.264,0.216,,,,
5,382,24130,25986,0.483,0.259,0.22,,,,
6,189,24131,27843,0.467,0.259,0.231,,,,
4,778,24150,25078,0.528,0.259,0.208,,,,
4,779,24181,25109,0.54,0.268,0.216,,,,
5,383,24193,26049,0.488,0.264,0.224,,,,
4,780,24212,25140,0.548,0.268,0.216,,,,
7,94,24226,31650,0.48,0.284,0.26,,,,
4,781,24243,25171,0.536,0.264,0.216,,,,
5,384,24256,26112,0.48,0.259,0.223,,,,
6,190,24258,27970,0.456,0.264,0.231,,,,
4,782,24274,25202,0.548,0.271,0.215,,,,
4,783,24305,25233,0.559,0.279,0.223,,,,
5,385,24319,26175,0.484,0.259,0.22,,,,
4,784,24336,25264,0.539,0.271,0.223,,,,
4,785,24367,25295,0.551,0.271,0.223,,,,
5,386,24382,26238,0.487,0.263,0.22,,,,
6,191,24385,28097,0.464,0.263,0.231,,,,
4,786,24398,25326,0.551,0.276,0.223,,,,
4,787,24429,25357,0.552,0.271,0.22,,,,
5,387,24445,26301,0.48,0.259,0.224,,,,
4,788,24460,25388,0.572,0.288,0.231,,,,
7,95,24481,31905,0.488,0.291,0.263,,,,
4,789,24491,25419,0.564,0.284,0.228,,,,
5,388,24508,26364,0.488,0.264,0.224,,,,
6,192,24512,28224,0.459,0.259,0.231,,,,
4,790,24522,25450,0.556,0.276,0.228,,,,
8,47,24529,39377,0.564,0.359,0.336,,,,
4,791,24553,25481,0.556,0.279,0.223,,,,
9,23,24553,54249,0.692,0.475,0.448,22.584,,,
10,11,24565,83957,0.92,0.68,0.655,,,,
5,389,24571,26427,0.483,0.263,0.223,,,,
11,5,24571,143355,1.467,1.12,1.092,,,,
12,2,24574,262142,2.52,2.,1.968,2.852,,,
4,792,24584,25512,0.544,0.267,0.211,,,,
4,793,24615,25543,0.556,0.271,0.22,,,,
5,390,24634,26490,0.487,0.267,0.227,,,,
6,193,24639,28351,0.464,0.268,0.231,,,,
4,794,24646,25574,0.556,0.271,0.223,,,,
4,795,24677,25605,0.543,0.271,0.211,,,,
5,391,24697,26553,0.491,0.268,0.228,,,,
4,796,24708,25636,0.551,0.271,0.22,,,,
7,96,24736,32160,0.496,0.295,0.268,,,,
4,797,24739,25667,0.548,0.271,0.22,,,,
5,392,24760,26616,0.496,0.272,0.215,,,,
6,194,24766,28478,0.471,0.268,0.235,,,,
4,798,24770,25698,0.544,0.267,0.219,,,,
4,799,24801,25729,0.551,0.271,0.223,,,,
5,393,24823,26679,0.5,0.276,0.236,,,,
4,800,24832,25760,0.548,0.276,0.22,,,,
4,801,24863,25791,0.548,0.272,0.224,,,,
5,394,24886,26742,0.504,0.276,0.231,,,,
6,195,24893,28605,0.463,0.264,0.231,,,,
4,802,24894,25822,0.556,0.276,0.224,,,,
4,803,24925,25853,0.539,0.268,0.22,,,,
5,395,24949,26805,0.496,0.271,0.231,,,,
4,804,24956,25884,0.548,0.272,0.224,,,,
4,805,24987,25915,0.559,0.279,0.224,,,,
7,97,24991,32415,0.491,0.295,0.268,,,,
5,396,25012,26868,0.508,0.275,0.231,,,,
4,806,25018,25946,0.548,0.272,0.22,,,,
6,196,25020,28732,0.463,0.268,0.239,,,,
8,48,25040,39888,0.571,0.364,0.336,,,,
4,807,25049,25977,0.556,0.271,0.223,,,,
5,397,25075,26931,0.5,0.271,0.231,,,,
4,808,25080,26008,0.556,0.276,0.223,,,,
4,809,25111,26039,0.548,0.275,0.22,,,,
5,398,25138,26994,0.504,0.271,0.235,,,,
4,810,25142,26070,0.559,0.275,0.223,,,,
6,197,25147,28859,0.471,0.271,0.24,,,,
4,811,25173,26101,0.556,0.276,0.224,,,,
5,399,25201,27057,0.5,0.276,0.24,,,,
4,812,25204,26132,0.552,0.272,0.224,,,,
4,813,25235,26163,0.559,0.279,0.22,,,,
7,98,25246,32670,0.5,0.303,0.275,,,,
5,400,25264,27120,0.503,0.279,0.24,,,,
4,814,25266,26194,0.559,0.275,0.227,,,,
6,198,25274,28986,0.472,0.267,0.239,,,,
4,815,25297,26225,0.556,0.276,0.228,,,,
5,401,25327,27183,0.508,0.279,0.24,,,,
4,816,25328,26256,0.551,0.279,0.227,,,,
4,817,25359,26287,0.551,0.268,0.223,,,,
4,818,25390,26318,0.559,0.284,0.224,,,,
5,402,25390,27246,0.523,0.288,0.248,,,,
6,199,25401,29113,0.467,0.268,0.231,,,,
4,819,25421,26349,0.552,0.271,0.22,,,,
4,820,25452,26380,0.559,0.279,0.228,,,,
5,403,25453,27309,0.508,0.279,0.231,,,,
4,821,25483,26411,0.56,0.279,0.223,,,,
7,99,25501,32925,0.503,0.304,0.271,,,,
4,822,25514,26442,0.556,0.276,0.228,,,,
5,404,25516,27372,0.519,0.279,0.236,,,,
6,200,25528,29240,0.468,0.271,0.239,,,,
4,823,25545,26473,0.556,0.276,0.22,,,,
8,49,25551,40399,0.592,0.38,0.351,,,,
4,824,25576,26504,0.556,0.279,0.224,,,,
9,24,25576,55272,0.68,0.463,0.435,23.899,,,
5,405,25579,27435,0.504,0.271,0.235,,,,
4,825,25607,26535,0.56,0.275,0.227,,,,
4,826,25638,26566,0.563,0.279,0.228,,,,
5,406,25642,27498,0.511,0.276,0.236,,,,
6,201,25655,29367,0.471,0.271,0.244,,,,
4,827,25669,26597,0.556,0.276,0.22,,,,
4,828,25700,26628,0.567,0.28,0.228,,,,
5,407,25705,27561,0.503,0.275,0.231,,,,
4,829,25731,26659,0.556,0.279,0.228,,,,
7,100,25756,33180,0.495,0.304,0.276,,,,
4,830,25762,26690,0.552,0.276,0.223,,,,
5,408,25768,27624,0.508,0.279,0.24,,,,
6,202,25782,29494,0.472,0.272,0.244,,,,
4,831,25793,26721,0.559,0.283,0.22,,,,
4,832,25824,26752,0.563,0.283,0.228,,,,
5,409,25831,27687,0.508,0.28,0.24,,,,
4,833,25855,26783,0.56,0.275,0.227,,,,
4,834,25886,26814,0.563,0.283,0.227,,,,
5,410,25894,27750,0.511,0.276,0.236,,,,
6,203,25909,29621,0.472,0.275,0.244,,,,
4,835,25917,26845,0.551,0.272,0.22,,,,
4,836,25948,26876,0.572,0.288,0.232,,,,
5,411,25957,27813,0.504,0.276,0.235,,,,
4,837,25979,26907,0.559,0.283,0.228,,,,
4,838,26010,26938,0.564,0.279,0.228,,,,
7,101,26011,33435,0.495,0.307,0.276,,,,
5,412,26020,27876,0.503,0.279,0.239,,,,
6,204,26036,29748,0.475,0.275,0.244,,,,
4,839,26041,26969,0.564,0.284,0.224,,,,
8,50,26062,40910,0.559,0.364,0.34,,,,
4,840,26072,27000,0.567,0.283,0.235,,,,
5,413,26083,27939,0.503,0.276,0.231,,,,
4,841,26103,27031,0.571,0.283,0.231,,,,
4,842,26134,27062,0.564,0.283,0.231,,,,
5,414,26146,28002,0.512,0.28,0.231,,,,
6,205,26163,29875,0.48,0.279,0.248,,,,
4,843,26165,27093,0.56,0.284,0.228,,,,
4,844,26196,27124,0.572,0.283,0.223,,,,
5,415,26209,28065,0.503,0.279,0.24,,,,
4,845,26227,27155,0.571,0.288,0.231,,,,
4,846,26258,27186,0.563,0.283,0.231,,,,
7,102,26266,33690,0.507,0.316,0.279,,,,
5,416,26272,28128,0.511,0.283,0.24,,,,
4,847,26289,27217,0.567,0.288,0.236,,,,
6,206,26290,30002,0.475,0.275,0.244,,,,
4,848,26320,27248,0.556,0.279,0.228,,,,
5,417,26335,28191,0.504,0.275,0.239,,,,
4,849,26351,27279,0.567,0.283,0.223,,,,
4,850,26382,27310,0.572,0.288,0.236,,,,
5,418,26398,28254,0.516,0.283,0.24,,,,
4,851,26413,27341,0.567,0.283,0.235,,,,
6,207,26417,30129,0.48,0.275,0.248,,,,
4,852,26444,27372,0.571,0.291,0.235,,,,
5,419,26461,28317,0.503,0.279,0.24,,,,
4,853,26475,27403,0.563,0.279,0.231,,,,
4,854,26506,27434,0.567,0.283,0.227,,,,
7,103,26521,33945,0.512,0.311,0.284,,,,
5,420,26524,28380,0.516,0.284,0.236,,,,
4,855,26537,27465,0.571,0.291,0.235,,,,
6,208,26544,30256,0.484,0.279,0.248,,,,
4,856,26568,27496,0.567,0.288,0.236,,,,
8,51,26573,41421,0.588,0.384,0.351,,,,
5,421,26587,28443,0.508,0.279,0.236,,,,
4,857,26599,27527,0.572,0.283,0.231,,,,
9,25,26599,56295,0.72,0.5,0.471,27.727,,,
10,12,26612,86004,0.932,0.695,0.672,,,,
4,858,26630,27558,0.567,0.283,0.231,,,,
5,422,26650,28506,0.516,0.284,0.244,,,,
4,859,26661,27589,0.576,0.288,0.231,,,,
6,209,26671,30383,0.48,0.279,0.243,,,,
4,860,26692,27620,0.571,0.288,0.228,,,,
5,423,26713,28569,0.511,0.284,0.244,,,,
4,861,26723,27651,0.567,0.279,0.235,,,,
4,862,26754,27682,0.579,0.284,0.232,,,,
5,424,26776,28632,0.516,0.283,0.24,,,,
7,104,26776,34200,0.507,0.316,0.283,,,,
4,863,26785,27713,0.571,0.291,0.235,,,,
6,210,26798,30510,0.483,0.28,0.239,,,,
4,864,26816,27744,0.568,0.284,0.236,,,,
5,425,26839,28695,0.508,0.283,0.243,,,,
4,865,26847,27775,0.579,0.288,0.236,,,,
4,866,26878,27806,0.564,0.284,0.231,,,,
5,426,26902,28758,0.519,0.288,0.24,,,,
4,867,26909,27837,0.572,0.288,0.228,,,,
6,211,26925,30637,0.48,0.279,0.251,,,,
4,868,26940,27868,0.576,0.288,0.235,,,,
5,427,26965,28821,0.515,0.288,0.24,,,,
4,869,26971,27899,0.575,0.291,0.235,,,,
4,870,27002,27930,0.58,0.292,0.24,,,,
5,428,27028,28884,0.523,0.288,0.248,,,,
7,105,27031,34455,0.516,0.315,0.284,,,,
4,871,27033,27961,0.572,0.292,0.235,,,,
6,212,27052,30764,0.483,0.284,0.256,,,,
4,872,27064,27992,0.567,0.283,0.231,,,,
8,52,27084,41932,0.587,0.38,0.348,,,,
5,429,27091,28947,0.516,0.288,0.243,,,,
