n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
4447,8.14,7.748,7.699,5.403,14.532,0.28,0.298,0.36,,
4449,8.115,7.716,7.667,5.411,14.556,0.272,0.299,0.357,,
4451,8.108,7.715,7.659,5.435,14.487,0.275,0.363,0.364,,
4453,8.087,7.703,7.652,5.48,14.539,0.276,0.363,0.365,,
4455,8.092,7.695,7.644,5.459,14.559,0.28,0.343,0.384,,
4457,8.1,7.703,7.655,5.431,14.508,0.271,0.298,0.346,,
4459,8.231,7.848,7.799,5.488,14.547,0.28,0.312,0.288,,
4461,8.192,7.788,7.743,5.423,14.615,0.271,0.374,0.385,,
4463,8.203,7.815,7.771,5.44,14.659,0.284,0.3,0.362,,
4465,8.152,7.755,7.707,5.439,14.771,0.276,0.363,0.362,,
4467,8.143,7.744,7.695,5.451,14.744,0.283,0.369,0.381,,
4469,8.175,7.792,7.748,5.456,14.699,0.276,0.324,0.437,,
4471,8.131,7.739,7.695,5.488,14.679,0.28,0.311,0.389,,
4473,8.139,7.756,7.715,5.447,14.635,0.28,0.308,0.304,,
4475,8.316,7.927,7.884,5.467,14.684,0.283,0.439,0.373,,
4477,8.203,7.791,7.743,5.448,14.728,0.276,0.425,0.377,,
4479,8.192,7.804,7.764,5.48,14.795,0.283,0.353,0.337,,
4481,8.203,7.815,7.768,5.452,14.835,0.275,0.419,0.382,,
4483,8.216,7.819,7.775,5.467,14.812,0.284,0.355,0.376,,
4485,8.203,7.811,7.768,5.476,14.86,0.28,0.347,0.389,,
4487,8.199,7.811,7.764,5.488,14.847,0.284,0.305,0.294,,
4489,8.271,7.88,7.831,5.536,14.911,0.275,0.291,0.28,,
4491,8.34,7.944,7.892,5.476,14.852,0.283,0.285,0.37,,
4493,8.34,7.94,7.891,5.471,14.799,0.28,0.375,0.383,,
4495,8.243,7.851,7.8,5.532,14.816,0.288,0.377,0.309,,
4497,8.26,7.868,7.82,5.587,14.788,0.28,0.301,0.294,,
4499,8.228,7.844,7.783,5.524,14.864,0.288,0.286,0.285,,
4501,8.26,7.867,7.819,5.547,14.864,0.284,0.374,0.391,,
4503,8.268,7.876,7.824,5.547,14.935,0.283,0.364,0.295,,
4505,8.427,8.039,7.996,5.56,14.908,0.28,0.294,0.297,,
4507,8.392,8.,7.948,5.551,14.911,0.288,0.283,0.284,,
4509,8.411,8.012,7.972,5.579,14.923,0.283,0.288,0.278,,
4511,8.307,7.912,7.868,5.543,14.988,0.283,0.276,0.358,,
4513,8.311,7.923,7.879,5.56,14.987,0.28,0.364,0.389,,
4515,8.355,7.963,7.92,5.539,14.976,0.283,0.383,0.302,,
4517,8.364,7.963,7.916,5.572,14.963,0.28,0.293,0.369,,
4519,8.479,8.084,8.036,5.547,15.099,0.292,0.387,0.399,,
4521,8.495,8.096,8.048,5.555,15.063,0.283,0.392,0.384,,
4523,8.5,8.096,8.052,5.547,15.115,0.283,0.435,0.371,,
4525,8.427,8.036,7.992,5.596,15.008,0.283,0.312,0.389,,
4527,8.44,8.039,8.,5.576,15.028,0.287,0.368,0.389,,
4529,8.408,8.007,7.96,5.56,15.112,0.28,0.305,0.365,,
4531,8.395,8.003,7.96,5.507,15.039,0.288,0.388,0.401,,
4533,8.407,8.019,7.971,5.536,14.971,0.283,0.386,0.389,,
4535,8.571,8.18,8.132,5.551,15.063,0.292,0.432,0.322,,
4537,8.483,8.079,8.036,5.536,15.02,0.284,0.37,0.381,,
4539,8.472,8.076,8.032,5.659,15.171,0.292,0.368,0.374,,
4541,8.423,8.027,7.979,5.684,15.159,0.284,0.441,0.311,,
4543,8.423,8.027,7.979,5.615,15.096,0.292,0.382,0.363,,
4545,8.451,8.056,8.015,5.619,15.224,0.288,0.313,0.43,,
4547,8.46,8.072,8.028,5.595,15.115,0.288,0.386,0.37,,
4549,8.471,8.08,8.031,5.592,15.184,0.288,0.383,0.391,,
4551,8.635,8.243,8.199,5.579,15.144,0.292,0.392,0.361,,
4553,8.551,8.155,8.112,5.604,15.175,0.288,0.401,0.371,,
4555,8.552,8.155,8.108,5.584,15.107,0.292,0.369,0.304,,
4557,8.507,8.107,8.067,5.587,15.231,0.288,0.383,0.369,,
4559,8.519,8.127,8.079,5.615,15.144,0.287,0.37,0.304,,
4561,8.515,8.131,8.083,5.595,15.176,0.288,0.372,0.306,,
4563,8.524,8.131,8.087,5.627,15.22,0.295,0.38,0.43,,
4565,8.536,8.131,8.083,5.644,15.216,0.288,0.388,0.383,,
4567,8.675,8.271,8.224,5.619,15.279,0.292,0.371,0.33,,
4569,8.615,8.211,8.167,5.612,15.271,0.287,0.31,0.379,,
4571,8.612,8.216,8.168,5.644,15.303,0.292,0.309,0.382,,
4573,8.551,8.155,8.108,5.64,15.299,0.287,0.307,0.369,,
4575,8.559,8.171,8.123,5.648,15.212,0.291,0.375,0.44,,
4577,8.576,8.184,8.136,5.64,15.331,0.288,0.327,0.297,,
4579,8.576,8.184,8.136,5.655,15.295,0.295,0.304,0.287,,
4581,8.559,8.164,8.119,5.716,15.336,0.288,0.304,0.388,,
4583,8.703,8.307,8.26,5.716,15.323,0.292,0.381,0.312,,
4585,8.627,8.24,8.192,5.748,15.351,0.292,0.368,0.389,,
4587,8.635,8.244,8.195,5.695,15.376,0.3,0.385,0.385,,
4589,8.584,8.192,8.144,5.72,15.327,0.292,0.388,0.313,,
4591,8.619,8.224,8.176,5.708,15.347,0.3,0.304,0.306,,
4593,8.668,8.264,8.215,5.743,15.391,0.292,0.38,0.426,,
4595,8.612,8.216,8.176,5.695,15.456,0.299,0.316,0.38,,
4597,8.659,8.268,8.219,5.684,15.536,0.292,0.372,0.381,,
4599,8.76,8.359,8.319,5.671,15.475,0.292,0.381,0.316,,
4601,8.739,8.347,8.3,5.683,15.471,0.292,0.302,0.35,,
4603,8.748,8.344,8.3,5.728,15.42,0.299,0.312,0.298,,
4605,8.667,8.271,8.223,5.739,15.431,0.292,0.378,0.385,,
4607,8.692,8.3,8.248,5.7,15.488,0.299,0.388,0.391,,
4609,8.684,8.292,8.243,5.703,15.5,0.292,0.313,0.306,,
4611,8.688,8.292,8.247,5.7,15.504,0.299,0.297,0.384,,
4613,8.728,8.331,8.283,5.724,15.38,0.288,0.309,0.307,,
4615,8.811,8.416,8.372,5.764,15.48,0.299,0.399,0.384,,
4617,8.764,8.367,8.319,5.728,15.572,0.295,0.398,0.396,,
4619,8.728,8.332,8.292,5.727,15.536,0.3,0.33,0.392,,
4621,8.731,8.34,8.292,5.719,15.532,0.291,0.388,0.409,,
4623,8.712,8.324,8.28,5.8,15.56,0.3,0.335,0.397,,
4625,8.756,8.36,8.316,5.796,15.572,0.292,0.316,0.385,,
4627,8.747,8.347,8.304,5.764,15.611,0.295,0.386,0.312,,
4629,8.815,8.416,8.363,5.748,15.699,0.295,0.314,0.383,,
4631,8.84,8.439,8.391,5.764,15.567,0.3,0.314,0.391,,
4633,8.807,8.404,8.356,5.752,15.635,0.295,0.399,0.384,,
4635,8.775,8.371,8.315,5.788,15.628,0.304,0.308,0.304,,
4637,8.787,8.384,8.34,5.752,15.711,0.295,0.371,0.305,,
4639,8.792,8.395,8.351,5.775,15.748,0.304,0.38,0.304,,
4641,8.784,8.384,8.336,5.78,15.723,0.3,0.383,0.392,,
4643,8.815,8.431,8.384,5.779,15.695,0.304,0.323,0.325,,
4645,8.988,8.587,8.539,5.844,15.728,0.296,0.396,0.379,,
4647,9.096,8.672,8.615,5.799,15.795,0.303,0.396,0.35,,
4649,9.048,8.636,8.584,5.804,15.728,0.295,0.374,0.394,,
4651,9.023,8.624,8.576,5.783,15.707,0.304,0.384,0.372,,
4653,8.975,8.576,8.536,5.824,15.756,0.3,0.394,0.379,,
4655,8.988,8.583,8.536,5.819,15.811,0.304,0.315,0.384,,
4657,9.015,8.619,8.572,5.823,15.779,0.299,0.321,0.379,,
4659,9.016,8.619,8.572,5.839,15.851,0.308,0.376,0.327,,
4661,9.091,8.688,8.64,5.827,15.892,0.3,0.315,0.372,,
4663,9.199,8.775,8.72,5.856,15.847,0.307,0.374,0.45,,
4665,9.119,8.7,8.652,5.904,15.928,0.304,0.399,0.378,,
4667,9.108,8.699,8.644,5.884,15.832,0.304,0.39,0.385,,
4669,9.047,8.639,8.591,5.836,15.904,0.3,0.396,0.398,,
4671,9.076,8.668,8.62,5.88,15.979,0.304,0.403,0.324,,
4673,9.095,8.692,8.643,5.884,15.923,0.299,0.39,0.322,,
4675,9.131,8.707,8.655,5.887,16.044,0.308,0.314,0.352,,
4677,9.224,8.807,8.751,5.875,15.927,0.299,0.313,0.306,,
4679,9.203,8.788,8.731,5.927,16.011,0.307,0.302,0.384,,
4681,9.188,8.783,8.735,5.916,15.971,0.304,0.317,0.388,,
4683,9.124,8.724,8.68,5.872,15.98,0.307,0.384,0.378,,
4685,9.163,8.747,8.699,5.824,16.028,0.307,0.322,0.37,,
4687,9.123,8.711,8.667,5.84,16.023,0.307,0.395,0.381,,
4689,9.136,8.728,8.684,5.863,16.043,0.308,0.372,0.38,,
4691,9.159,8.755,8.703,5.836,16.088,0.312,0.387,0.323,,
4693,9.283,8.887,8.836,5.827,16.051,0.303,0.416,0.393,,
4695,9.244,8.828,8.78,5.876,16.099,0.311,0.389,0.404,,
4697,9.192,8.775,8.724,5.871,16.119,0.307,0.338,0.401,,
4699,9.152,8.751,8.699,5.876,16.115,0.312,0.397,0.318,,
4701,9.152,8.752,8.704,5.884,16.055,0.307,0.315,0.305,,
4703,9.167,8.771,8.72,5.887,16.079,0.311,0.387,0.389,,
4705,9.184,8.78,8.728,5.952,16.127,0.304,0.316,0.451,,
4707,9.175,8.78,8.728,5.948,16.1,0.307,0.384,0.321,,
4709,9.307,8.908,8.855,5.916,16.092,0.307,0.371,0.381,,
4711,9.268,8.855,8.804,5.916,16.192,0.304,0.41,0.376,,
4713,9.252,8.84,8.788,5.935,16.167,0.311,0.385,0.381,,
4715,9.231,8.811,8.755,5.899,16.251,0.308,0.39,0.406,,
4717,9.243,8.835,8.783,5.963,16.307,0.311,0.336,0.394,,
4719,9.188,8.787,8.739,5.979,16.279,0.311,0.404,0.455,,
4721,9.247,8.84,8.783,5.923,16.28,0.312,0.401,0.404,,
4723,9.243,8.84,8.792,5.923,16.408,0.307,0.326,0.393,,
4725,9.416,9.019,8.967,5.956,16.36,0.311,0.326,0.331,,
4727,9.34,8.927,8.88,5.956,16.192,0.315,0.321,0.395,,
4729,9.372,8.956,8.912,6.115,16.3,0.311,0.404,0.388,,
4731,9.328,8.908,8.851,5.963,16.371,0.312,0.386,0.409,,
4733,9.356,8.944,8.887,5.984,16.283,0.312,0.395,0.323,,
4735,9.323,8.916,8.864,5.96,16.368,0.315,0.397,0.318,,
4737,9.34,8.932,8.892,6.003,16.387,0.307,0.314,0.387,,
4739,9.391,8.991,8.943,5.927,16.42,0.307,0.333,0.315,,
4741,9.468,9.048,9.004,5.899,16.399,0.312,0.309,0.398,,
4743,9.372,8.967,8.92,5.908,16.496,0.307,0.399,0.392,,
4745,9.408,8.987,8.94,5.963,16.496,0.315,0.386,0.382,,
4747,9.34,8.924,8.871,5.992,16.347,0.312,0.335,0.389,,
4749,9.319,8.92,8.872,5.984,16.48,0.312,0.328,0.401,,
4751,9.347,8.943,8.891,5.935,16.387,0.312,0.414,0.405,,
4753,9.376,8.979,8.928,5.944,16.38,0.311,0.422,0.388,,
4755,9.459,9.059,9.007,5.963,16.532,0.316,0.322,0.317,,
4757,9.452,9.051,9.,5.968,16.435,0.312,0.315,0.386,,
4759,9.456,9.048,9.003,5.963,16.579,0.315,0.401,0.316,,
4761,9.396,8.987,8.936,5.98,16.608,0.307,0.393,0.322,,
4763,9.404,9.,8.951,5.992,16.604,0.312,0.315,0.305,,
4765,9.427,9.028,8.975,5.96,16.607,0.315,0.309,0.303,,
4767,9.463,9.056,9.003,5.992,16.611,0.312,0.31,0.398,,
4769,9.459,9.055,9.,5.96,16.615,0.319,0.416,0.328,,
4771,9.587,9.184,9.131,5.955,16.579,0.316,0.399,0.392,,
4773,9.504,9.095,9.039,5.935,16.627,0.315,0.467,0.402,,
4775,9.52,9.108,9.056,5.96,16.563,0.319,0.416,0.405,,
4777,9.496,9.084,9.031,5.928,16.836,0.312,0.337,0.317,,
4779,9.447,9.036,8.987,5.948,16.708,0.319,0.316,0.299,,
4781,9.459,9.056,9.007,5.943,16.647,0.315,0.311,0.386,,
4783,9.476,9.067,9.02,5.996,16.64,0.319,0.407,0.391,,
4785,9.572,9.159,9.112,6.032,16.695,0.319,0.461,0.4,,
4787,9.635,9.224,9.172,6.,16.707,0.311,0.406,0.397,,
4789,9.612,9.192,9.144,6.003,16.68,0.32,0.409,0.405,,
4791,9.595,9.179,9.131,6.011,16.775,0.315,0.403,0.326,,
4793,9.584,9.176,9.119,5.991,16.707,0.315,0.453,0.328,,
4795,9.608,9.203,9.152,5.996,16.427,0.324,0.325,0.324,,
4797,9.608,9.208,9.155,6.195,16.447,0.316,0.314,0.307,,
4799,9.584,9.18,9.127,6.,16.492,0.324,0.308,0.305,,
4801,9.748,9.331,9.28,6.036,16.555,0.319,0.313,0.306,,
4803,9.728,9.323,9.272,6.015,16.52,0.319,0.317,0.387,,
4805,9.692,9.279,9.231,6.023,16.539,0.324,0.382,0.411,,
4807,9.676,9.26,9.207,6.044,16.695,0.316,0.332,0.461,,
4809,9.68,9.283,9.231,6.032,16.615,0.324,0.411,0.353,,
4811,9.6,9.195,9.144,6.003,16.672,0.319,0.329,0.315,,
4813,9.616,9.212,9.159,6.043,16.692,0.319,0.393,0.439,,
4815,9.648,9.244,9.191,6.036,16.76,0.328,0.419,0.334,,
4817,9.84,9.427,9.376,6.047,16.699,0.319,0.33,0.315,,
4819,9.763,9.344,9.291,6.059,16.728,0.328,0.398,0.341,,
4821,9.744,9.332,9.28,6.072,16.655,0.319,0.41,0.419,,
4823,9.739,9.327,9.275,6.144,16.695,0.324,0.333,0.321,,
4825,9.683,9.275,9.228,6.087,16.699,0.319,0.31,0.311,,
4827,9.716,9.311,9.255,6.06,16.771,0.324,0.32,0.312,,
4829,9.719,9.316,9.263,6.144,16.739,0.319,0.307,0.319,,
4831,9.86,9.448,9.395,6.1,16.764,0.324,0.38,0.408,,
4833,9.836,9.423,9.376,6.104,16.812,0.323,0.339,0.412,,
4835,9.776,9.363,9.316,6.108,16.852,0.327,0.338,0.396,,
4837,9.764,9.355,9.311,6.108,16.836,0.328,0.403,0.33,,
4839,9.731,9.327,9.275,6.083,16.84,0.324,0.476,0.439,,
4841,9.711,9.307,9.256,6.103,16.859,0.327,0.389,0.327,,
4843,9.735,9.327,9.28,6.107,16.895,0.327,0.334,0.401,,
4845,9.735,9.316,9.263,6.127,16.891,0.324,0.327,0.463,,
4847,9.94,9.52,9.464,6.112,16.927,0.328,0.349,0.324,,
4849,9.788,9.368,9.32,6.119,16.967,0.324,0.399,0.414,,
4851,9.78,9.379,9.327,6.147,16.891,0.327,0.41,0.435,,
4853,9.748,9.336,9.288,6.123,16.88,0.331,0.334,0.406,,
4855,9.768,9.352,9.299,6.104,16.987,0.327,0.417,0.4,,
4857,9.735,9.316,9.268,6.176,16.88,0.328,0.341,0.33,,
4859,9.775,9.352,9.299,6.144,16.92,0.327,0.312,0.39,,
4861,9.884,9.459,9.404,6.148,16.904,0.328,0.417,0.332,,
4863,9.863,9.451,9.399,6.192,16.916,0.327,0.322,0.311,,
4865,9.827,9.415,9.368,6.231,16.983,0.327,0.44,0.327,,
4867,9.788,9.38,9.327,6.203,17.108,0.319,0.453,0.419,,
4869,9.796,9.384,9.332,6.176,16.988,0.328,0.403,0.422,,
4871,9.807,9.4,9.347,6.188,16.963,0.327,0.415,0.397,,
4873,9.804,9.396,9.343,6.196,17.088,0.327,0.416,0.424,,
4875,9.804,9.395,9.344,6.199,17.108,0.328,0.335,0.394,,
4877,9.987,9.575,9.528,6.208,17.115,0.331,0.416,0.324,,
4879,9.896,9.488,9.435,6.224,17.228,0.327,0.337,0.319,,
4881,9.904,9.496,9.448,6.216,17.188,0.332,0.39,0.325,,
4883,9.847,9.439,9.388,6.192,17.26,0.327,0.329,0.402,,
4885,9.852,9.447,9.403,6.252,17.175,0.327,0.338,0.322,,
4887,9.827,9.424,9.375,6.199,17.199,0.331,0.314,0.413,,
4889,9.892,9.484,9.436,6.248,17.172,0.328,0.412,0.424,,
4891,9.904,9.491,9.435,6.199,17.251,0.331,0.421,0.428,,
4893,10.036,9.592,9.544,6.264,17.2,0.331,0.344,0.433,,
4895,9.924,9.515,9.459,6.251,17.192,0.327,0.412,0.418,,
4897,9.916,9.504,9.451,6.231,17.215,0.331,0.423,0.333,,
4899,9.892,9.476,9.427,6.215,17.279,0.336,0.41,0.423,,
4901,9.876,9.467,9.416,6.259,17.284,0.335,0.347,0.329,,
4903,9.891,9.484,9.435,6.307,17.34,0.331,0.318,0.313,,
4905,9.875,9.471,9.424,6.368,17.384,0.336,0.401,0.451,,
4907,10.04,9.639,9.584,6.3,17.399,0.336,0.411,0.416,,
4909,10.015,9.6,9.548,6.283,17.476,0.331,0.411,0.333,,
4911,10.039,9.615,9.564,6.336,17.416,0.336,0.402,0.411,,
4913,9.948,9.52,9.467,6.319,17.412,0.336,0.466,0.341,,
4915,9.956,9.547,9.492,6.287,17.304,0.331,0.329,0.328,,
4917,9.96,9.556,9.503,6.352,17.427,0.336,0.409,0.336,,
4919,9.984,9.572,9.524,6.311,17.304,0.336,0.324,0.432,,
4921,10.003,9.595,9.54,6.279,17.404,0.331,0.352,0.337,,
4923,10.127,9.703,9.648,6.339,17.431,0.339,0.426,0.408,,
4925,10.064,9.648,9.6,6.331,17.508,0.336,0.457,0.338,,
4927,10.036,9.631,9.579,6.315,17.516,0.335,0.393,0.409,,
4929,9.987,9.584,9.535,6.296,17.568,0.336,0.468,0.422,,
4931,10.043,9.628,9.576,6.34,17.519,0.339,0.346,0.324,,
4933,10.079,9.663,9.608,6.347,17.467,0.332,0.411,0.335,,
4935,10.031,9.624,9.572,6.351,17.431,0.339,0.41,0.384,,
4937,10.227,9.816,9.76,6.344,17.452,0.336,0.385,0.409,,
4939,10.167,9.755,9.699,6.347,17.476,0.339,0.41,0.405,,
4941,10.167,9.747,9.692,6.32,17.48,0.339,0.414,0.418,,
4943,10.156,9.744,9.691,6.376,17.587,0.339,0.42,0.407,,
4945,10.14,9.731,9.684,6.568,17.568,0.339,0.414,0.422,,
4947,10.14,9.724,9.672,6.38,17.608,0.336,0.405,0.419,,
4949,10.123,9.723,9.672,6.395,17.695,0.339,0.421,0.424,,
4951,10.343,9.935,9.884,6.403,17.576,0.34,0.473,0.405,,
4953,10.219,9.799,9.751,6.395,17.576,0.339,0.408,0.339,,
4955,10.211,9.787,9.739,6.363,17.623,0.343,0.329,0.407,,
4957,10.211,9.788,9.735,6.563,17.572,0.339,0.335,0.323,,
4959,10.183,9.787,9.731,6.395,17.623,0.336,0.429,0.422,,
4961,10.183,9.783,9.727,6.387,17.656,0.336,0.434,0.425,,
4963,10.228,9.819,9.768,6.391,17.576,0.339,0.425,0.407,,
4965,10.34,9.924,9.868,6.431,17.628,0.34,0.432,0.353,,
4967,10.283,9.851,9.799,6.432,17.608,0.339,0.488,0.407,,
4969,10.315,9.907,9.859,6.412,17.643,0.343,0.426,0.347,,
4971,10.26,9.847,9.796,6.456,17.707,0.343,0.412,0.344,,
4973,10.284,9.876,9.824,6.412,17.76,0.339,0.434,0.338,,
4975,10.283,9.871,9.82,6.456,17.743,0.34,0.405,0.405,,
4977,10.307,9.895,9.84,6.431,17.779,0.339,0.429,0.414,,
4979,10.352,9.931,9.876,6.467,17.872,0.343,0.469,0.334,,
4981,10.412,10.,9.948,6.443,17.888,0.34,0.39,0.434,,
4983,10.376,9.943,9.879,6.516,17.895,0.343,0.431,0.387,,
4985,10.304,9.891,9.84,6.516,17.979,0.343,0.347,0.355,,
4987,10.335,9.916,9.871,6.511,17.872,0.339,0.418,0.41,,
4989,10.311,9.899,9.839,6.479,17.88,0.343,0.365,0.404,,
4991,10.331,9.927,9.879,6.483,17.728,0.343,0.353,0.358,,
4993,10.34,9.927,9.876,6.48,17.92,0.348,0.317,0.332,,
4995,10.495,10.079,10.028,6.676,17.884,0.343,0.329,0.41,,
4997,10.407,10.004,9.948,6.524,17.956,0.343,0.409,0.428,,
4999,10.463,10.043,9.992,6.472,17.963,0.343,0.492,0.419,,
