n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3243,4.495,4.096,4.043,2.864,7.5,0.152,0.298,0.29,,
3245,4.532,4.135,4.087,2.919,8.355,0.151,0.28,0.235,,
3247,4.599,4.211,4.159,2.892,7.403,0.152,0.223,0.294,,
3249,4.591,4.184,4.139,2.884,8.427,0.156,0.223,0.272,,
3251,4.547,4.155,4.112,2.927,7.46,0.152,0.292,0.241,,
3253,4.531,4.152,4.108,2.923,7.707,0.151,0.212,0.283,,
3255,4.547,4.155,4.115,2.895,7.676,0.152,0.316,0.226,,
3257,4.523,4.132,4.084,2.923,7.679,0.152,0.28,0.278,,
3259,4.564,4.175,4.128,2.92,8.271,0.151,0.296,0.254,,
3261,4.579,4.188,4.139,2.9,7.619,0.155,0.265,0.29,,
3263,4.695,4.3,4.256,2.907,8.395,0.156,0.284,0.286,,
3265,4.592,4.2,4.152,2.935,7.539,0.152,0.286,0.223,,
3267,4.584,4.2,4.148,2.908,8.516,0.152,0.277,0.285,,
3269,4.615,4.224,4.175,2.928,7.56,0.152,0.217,0.28,,
3271,4.576,4.192,4.148,2.923,7.844,0.155,0.278,0.291,,
3273,4.559,4.175,4.132,2.975,7.703,0.151,0.292,0.288,,
3275,4.592,4.204,4.164,2.983,7.824,0.155,0.302,0.22,,
3277,4.6,4.216,4.167,2.96,7.787,0.155,0.279,0.272,,
3279,4.724,4.315,4.271,2.951,7.819,0.152,0.257,0.223,,
3281,4.668,4.263,4.211,2.963,7.768,0.155,0.224,0.286,,
3283,4.612,4.215,4.172,2.956,7.852,0.155,0.26,0.291,,
3285,4.596,4.22,4.172,2.975,7.779,0.159,0.298,0.287,,
3287,4.596,4.208,4.172,2.932,7.828,0.152,0.309,0.302,,
3289,4.624,4.231,4.188,2.939,8.395,0.16,0.29,0.245,,
3291,4.6,4.208,4.164,2.971,7.779,0.152,0.23,0.286,,
3293,4.684,4.283,4.231,2.943,8.663,0.156,0.278,0.216,,
3295,4.675,4.291,4.24,2.963,7.475,0.152,0.276,0.23,,
3297,4.639,4.251,4.2,2.963,7.744,0.156,0.221,0.29,,
3299,4.664,4.267,4.223,2.967,8.583,0.156,0.26,0.223,,
3301,4.639,4.251,4.203,2.96,7.7,0.16,0.219,0.283,,
3303,4.668,4.264,4.22,2.98,7.987,0.156,0.28,0.289,,
3305,4.659,4.264,4.211,3.035,7.768,0.156,0.333,0.242,,
3307,4.659,4.268,4.216,2.96,7.796,0.159,0.337,0.225,,
3309,4.716,4.336,4.288,2.975,8.771,0.16,0.221,0.214,,
3311,4.748,4.351,4.307,3.052,7.632,0.156,0.295,0.298,,
3313,4.7,4.311,4.276,2.98,7.8,0.159,0.283,0.294,,
3315,4.704,4.316,4.268,3.048,8.699,0.155,0.219,0.32,,
3317,4.696,4.3,4.244,3.028,7.623,0.155,0.299,0.313,,
