n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
297,0.268,0.107,0.088,,,32.271
298,0.264,0.108,0.088,,,32.583
299,0.264,0.107,0.091,,,32.907
300,0.264,0.103,0.088,,,33.256
301,0.256,0.103,0.092,,,33.599
302,0.263,0.104,0.088,,,33.972
303,0.28,0.12,0.099,,,34.295
304,0.283,0.124,0.1,,,34.619
305,0.283,0.124,0.099,,,34.988
306,0.288,0.124,0.1,,,35.355
307,0.276,0.123,0.1,,,35.695
308,0.276,0.124,0.096,,,36.027
309,0.271,0.12,0.095,,,36.412
310,0.271,0.119,0.096,,,36.768
311,0.272,0.119,0.096,,,37.104
312,0.271,0.115,0.095,,,37.503
313,0.271,0.115,0.096,,,37.84
314,0.28,0.115,0.095,,,38.204
315,0.287,0.119,0.1,,,39.068
316,0.288,0.115,0.1,,,39.316
317,0.275,0.116,0.104,,,39.788
318,0.28,0.115,0.095,,,40.203
319,0.291,0.123,0.107,,,40.587
320,0.299,0.131,0.112,,,41.003
321,0.268,0.115,0.091,,,41.423
322,0.275,0.116,0.095,,,41.819
323,0.28,0.115,0.095,,,42.184
324,0.275,0.115,0.1,,,42.612
325,0.28,0.12,0.103,,,43.059
326,0.283,0.124,0.103,,,43.483
327,0.283,0.124,0.1,,,43.904
328,0.268,0.119,0.1,,,44.344
329,0.276,0.115,0.099,,,44.811
330,0.275,0.124,0.099,,,45.299
331,0.28,0.124,0.103,,,45.748
332,0.288,0.128,0.108,,,46.168
333,0.275,0.115,0.096,,,46.623
334,0.287,0.119,0.1,,,47.067
335,0.283,0.124,0.108,,,47.564
336,0.283,0.123,0.107,,,47.979
337,0.287,0.124,0.103,,,48.215
338,0.295,0.128,0.104,,,48.572
339,0.287,0.131,0.108,,,49.304
340,0.283,0.128,0.107,,,49.788
341,0.292,0.128,0.107,,,50.195
342,0.28,0.124,0.1,,,50.648
343,0.295,0.131,0.115,,,51.084
344,0.307,0.143,0.128,,,51.7
345,0.283,0.124,0.1,,,52.148
346,0.316,0.123,0.103,,,52.623
347,0.295,0.131,0.112,,,53.059
348,0.308,0.135,0.112,,,53.604
349,0.292,0.128,0.108,,,53.908
350,0.295,0.123,0.103,,,54.456
351,0.304,0.132,0.103,,,54.927
352,0.323,0.124,0.103,,,55.384
353,0.3,0.135,0.115,,,55.8
354,0.292,0.128,0.107,,,56.304
355,0.296,0.132,0.108,,,56.704
356,0.287,0.123,0.108,,,57.236
357,0.3,0.123,0.103,,,57.439
358,0.296,0.131,0.115,,,58.039
359,0.299,0.135,0.111,,,58.436
360,0.304,0.131,0.108,,,59.028
361,0.283,0.124,0.104,,,59.467
362,0.295,0.128,0.103,,,59.996
363,0.287,0.128,0.111,,,60.404
364,0.295,0.135,0.112,,,60.88
365,0.296,0.128,0.107,,,61.44
366,0.304,0.136,0.115,,,61.916
367,0.304,0.135,0.111,,,62.412
368,0.299,0.14,0.115,,,62.975
369,0.316,0.14,0.115,,,63.435
370,0.292,0.128,0.103,,,63.935
371,0.308,0.131,0.111,,,64.472
372,0.295,0.128,0.111,,,
373,0.315,0.148,0.123,,,
374,0.3,0.132,0.111,,,
375,0.304,0.131,0.115,,,
376,0.303,0.144,0.119,,,
377,0.316,0.144,0.124,,,
378,0.304,0.132,0.112,,,
379,0.343,0.14,0.111,,,
380,0.308,0.147,0.123,,,
381,0.328,0.147,0.124,,,
382,0.304,0.135,0.115,,,
383,0.307,0.132,0.115,,,
384,0.304,0.144,0.12,,,
385,0.307,0.14,0.124,,,
386,0.299,0.135,0.115,,,
387,0.316,0.143,0.12,,,
388,0.32,0.152,0.119,,,
389,0.304,0.135,0.115,,,
390,0.311,0.136,0.115,,,
391,0.304,0.14,0.119,,,
392,0.3,0.132,0.111,,,
393,0.304,0.135,0.115,,,
394,0.308,0.144,0.123,,,
395,0.311,0.143,0.123,,,
396,0.331,0.152,0.128,,,
397,0.32,0.152,0.128,,,
398,0.328,0.159,0.135,,,
399,0.335,0.156,0.132,,,
400,0.32,0.143,0.12,,,
401,0.359,0.159,0.135,,,
402,0.34,0.155,0.132,,,
403,0.327,0.147,0.123,,,
404,0.367,0.16,0.135,,,
405,0.32,0.152,0.124,,,
406,0.32,0.151,0.128,,,
407,0.308,0.135,0.119,,,
408,0.311,0.147,0.128,,,
409,0.319,0.147,0.132,,,
410,0.328,0.155,0.132,,,
411,0.311,0.14,0.12,,,
412,0.319,0.152,0.132,,,
413,0.319,0.151,0.132,,,
414,0.316,0.152,0.128,,,
415,0.32,0.148,0.132,,,
416,0.316,0.147,0.127,,,
417,0.32,0.144,0.123,,,
418,0.339,0.156,0.131,,,
419,0.316,0.147,0.124,,,
420,0.328,0.152,0.132,,,
421,0.332,0.168,0.143,,,
422,0.335,0.159,0.132,,,
423,0.339,0.147,0.128,,,
