n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
1492,1.292,0.807,0.751,,,
1493,1.34,0.804,0.744,,,
1494,1.219,0.747,0.687,,,
1495,1.556,1.063,1.,,,
1496,1.271,0.759,0.703,,,
1497,1.34,0.843,0.779,,,
1498,1.351,0.824,0.768,,,
1499,1.439,0.927,0.868,,,
1500,1.408,0.903,0.843,,,
1501,1.255,0.759,0.695,,,
1502,1.355,0.816,0.755,,,
1503,1.355,0.836,0.775,,,
1504,1.524,1.039,0.979,,,
1505,1.32,0.796,0.735,,,
1506,1.315,0.804,0.74,,,
1507,1.296,0.792,0.735,,,
1508,1.447,0.923,0.859,,,
1509,1.299,0.788,0.728,,,
1510,1.336,0.836,0.779,,,
1511,1.467,0.924,0.86,,,
1512,1.412,0.895,0.839,,,
1513,1.275,0.743,0.684,,,
1514,1.344,0.799,0.743,,,
1515,1.323,0.791,0.732,,,
1516,1.343,0.795,0.727,,,
1517,1.572,1.031,0.972,,,
1518,1.336,0.803,0.74,,,
1519,1.323,0.807,0.748,,,
1520,1.36,0.82,0.759,,,
1521,1.46,0.975,0.915,,,
1522,1.435,0.916,0.86,,,
1523,1.283,0.775,0.716,,,
1524,1.272,0.775,0.711,,,
1525,1.351,0.831,0.775,,,
1526,1.596,1.056,0.991,,,
1527,1.316,0.82,0.756,,,
1528,1.36,0.86,0.796,,,
1529,1.291,0.78,0.72,,,
1530,1.331,0.827,0.764,,,
1531,1.515,0.967,0.908,,,
1532,1.296,0.792,0.731,,,
1533,1.395,0.836,0.775,,,
1534,1.34,0.799,0.74,,,
1535,1.592,1.044,0.975,,,
1536,1.312,0.8,0.744,,,
1537,1.391,0.843,0.783,,,
1538,1.356,0.828,0.768,,,
1539,1.312,0.776,0.716,,,
1540,1.584,1.079,1.02,,,
1541,1.315,0.764,0.708,,,
1542,1.344,0.807,0.74,,,
1543,1.348,0.803,0.74,,,
1544,1.288,0.788,0.724,,,
1545,1.639,1.083,1.024,,,
1546,1.344,0.799,0.731,,,
1547,1.387,0.859,0.8,,,
1548,1.288,0.792,0.731,,,
1549,1.34,0.796,0.74,,,
1550,1.636,1.132,1.067,,,
1551,1.419,0.847,0.788,,,
1552,1.387,0.884,0.824,,,
1553,1.316,0.799,0.74,,,
1554,1.576,1.048,0.983,,,
1555,1.368,0.823,0.76,,,
1556,1.363,0.847,0.783,,,
1557,1.392,0.84,0.779,,,
1558,1.355,0.799,0.74,,,
1559,1.584,1.028,0.963,,,
1560,1.227,0.74,0.668,,,
1561,1.347,0.799,0.736,,,
1562,1.412,0.836,0.775,,,
1563,1.288,0.796,0.735,,,
1564,1.683,1.108,1.048,,,
1565,1.344,0.823,0.764,,,
1566,1.32,0.807,0.748,,,
1567,1.419,0.855,0.792,,,
1568,1.615,1.063,0.995,,,
1569,1.303,0.796,0.735,,,
1570,1.407,0.836,0.772,,,
1571,1.424,0.863,0.799,,,
1572,1.616,1.056,0.983,,,
1573,1.252,0.74,0.68,,,
1574,1.38,0.847,0.779,,,
1575,1.412,0.855,0.792,,,
1576,1.355,0.852,0.792,,,
1577,1.596,1.003,0.94,,,
1578,1.428,0.864,0.803,,,
1579,1.415,0.847,0.783,,,
1580,1.311,0.807,0.735,,,
1581,1.543,1.007,0.948,,,
1582,1.4,0.816,0.756,,,
1583,1.415,0.867,0.804,,,
1584,1.44,0.872,0.811,,,
1585,1.615,1.056,0.988,,,
1586,1.259,0.752,0.692,,,
1587,1.344,0.804,0.744,,,
1588,1.464,0.887,0.824,,,
1589,1.399,0.831,0.768,,,
1590,1.647,1.064,0.996,,,
1591,1.384,0.851,0.796,,,
1592,1.423,0.899,0.839,,,
1593,1.359,0.827,0.764,,,
1594,1.5,0.951,0.887,,,
1595,1.423,0.819,0.76,,,
1596,1.332,0.816,0.755,,,
1597,1.44,0.872,0.807,,,
1598,1.627,1.056,0.991,,,
1599,1.5,0.923,0.855,,,
1600,1.391,0.827,0.764,,,
1601,1.403,0.856,0.791,,,
1602,1.412,0.819,0.751,,,
1603,1.679,1.048,0.984,,,
1604,1.463,0.884,0.816,,,
1605,1.476,0.903,0.844,,,
1606,1.415,0.836,0.771,,,
1607,1.635,1.052,0.98,,,
1608,1.475,0.912,0.844,,,
1609,1.448,0.863,0.804,,,
1610,1.471,0.908,0.847,,,
1611,1.516,0.932,0.864,,,
1612,1.515,0.975,0.912,,,
1613,1.443,0.819,0.755,,,
1614,1.496,0.903,0.839,,,
1615,1.468,0.895,0.832,,,
1616,1.372,0.844,0.779,,,
1617,1.691,1.088,1.019,,,
1618,1.468,0.927,0.86,,,
1619,1.491,0.875,0.816,,,
1620,2.1,1.5,1.432,,,
1621,1.708,1.127,1.064,,,
1622,1.364,0.816,0.752,,,
1623,1.447,0.847,0.788,,,
1624,1.436,0.9,0.836,,,
1625,1.635,1.071,1.011,,,
1626,1.456,0.892,0.828,,,
1627,1.5,0.895,0.827,,,
1628,1.375,0.847,0.784,,,
1629,1.563,0.96,0.896,,,
1630,1.683,1.08,1.004,,,
1631,1.416,0.836,0.768,,,
1632,1.451,0.871,0.807,,,
1633,1.512,0.908,0.843,,,
1634,1.664,1.064,1.,,,
1635,1.484,0.892,0.819,,,
1636,1.415,0.864,0.796,,,
1637,1.527,0.915,0.851,,,
1638,1.483,0.907,0.839,,,
1639,1.656,1.071,1.003,,,
1640,1.46,0.844,0.775,,,
1641,1.524,0.96,0.892,,,
1642,1.451,0.864,0.799,,,
1643,1.775,1.144,1.08,,,
1644,1.439,0.884,0.819,,,
1645,1.467,0.884,0.823,,,
1646,1.612,1.008,0.94,,,
1647,1.635,1.031,0.963,,,
1648,1.432,0.859,0.792,,,
1649,1.392,0.824,0.759,,,
1650,1.495,0.919,0.855,,,
1651,1.631,1.079,1.007,,,
1652,1.556,0.98,0.915,,,
1653,1.416,0.844,0.776,,,
1654,1.544,0.915,0.852,,,
1655,1.468,0.863,0.796,,,
1656,1.836,1.179,1.112,,,
1657,1.492,0.911,0.847,,,
1658,1.551,0.943,0.879,,,
1659,1.56,0.951,0.887,,,
1660,1.763,1.147,1.079,,,
1661,1.511,0.948,0.879,,,
1662,1.471,0.895,0.831,,,
1663,1.56,0.94,0.871,,,
1664,1.771,1.148,1.075,,,
1665,1.5,0.892,0.827,,,
1666,1.511,0.887,0.819,,,
1667,1.655,1.059,0.991,,,
1668,1.599,1.019,0.951,,,
1669,1.555,0.919,0.852,,,
1670,1.567,0.923,0.852,,,
1671,1.579,0.963,0.895,,,
1672,1.783,1.12,1.055,,,
1673,1.423,0.864,0.792,,,
1674,1.556,0.975,0.912,,,
1675,1.48,0.932,0.863,,,
1676,1.724,1.091,1.019,,,
1677,1.556,0.928,0.864,,,
1678,1.559,0.943,0.867,,,
1679,1.715,1.059,0.995,,,
1680,1.695,1.02,0.951,,,
1681,1.443,0.859,0.78,,,
1682,1.587,0.98,0.912,,,
1683,1.567,0.996,0.932,,,
1684,1.587,0.996,0.928,,,
1685,1.596,0.976,0.903,,,
1686,1.592,0.968,0.903,,,
1687,1.584,1.016,0.935,,,
1688,1.668,1.019,0.956,,,
1689,1.548,0.895,0.831,,,
1690,1.587,0.96,0.887,,,
1691,1.584,1.004,0.935,,,
1692,1.644,1.011,0.94,,,
1693,1.592,0.964,0.892,,,
1694,1.591,0.968,0.896,,,
1695,1.768,1.155,1.084,,,
1696,1.628,1.019,0.956,,,
1697,1.548,0.967,0.895,,,
1698,1.603,0.964,0.895,,,
1699,1.743,1.108,1.035,,,
1700,1.528,0.947,0.88,,,
1701,1.615,0.98,0.908,,,
1702,1.624,1.016,0.943,,,
1703,1.8,1.171,1.104,,,
1704,1.436,0.844,0.771,,,
1705,1.456,0.88,0.811,,,
1706,1.635,0.988,0.919,,,
1707,1.836,1.2,1.131,,,
1708,1.552,0.932,0.867,,,
1709,1.604,0.98,0.912,,,
1710,1.7,1.044,0.975,,,
1711,1.723,1.044,0.971,,,
1712,1.483,0.879,0.812,,,
1713,1.451,0.868,0.803,,,
1714,1.512,0.927,0.855,,,
1715,1.703,1.107,1.04,,,
1716,1.539,0.932,0.863,,,
1717,1.523,0.927,0.86,,,
1718,1.644,0.988,0.919,,,
1719,1.812,1.155,1.087,,,
1720,1.684,1.019,0.951,,,
1721,1.612,0.963,0.895,,,
1722,1.66,1.016,0.951,,,
1723,1.811,1.18,1.111,,,
1724,1.5,0.912,0.836,,,
1725,1.64,0.98,0.912,,,
1726,1.644,1.004,0.927,,,
1727,1.776,1.127,1.056,,,
1728,1.564,0.971,0.896,,,
1729,1.516,0.903,0.836,,,
1730,1.632,1.028,0.956,,,
1731,1.823,1.192,1.124,,,
1732,1.544,0.92,0.847,,,
1733,1.66,1.024,0.955,,,
1734,1.624,0.987,0.92,,,
1735,1.88,1.224,1.152,,,
1736,1.528,0.936,0.867,,,
1737,1.523,0.923,0.852,,,
1738,1.539,0.932,0.859,,,
1739,1.847,1.172,1.1,,,
1740,1.587,0.927,0.86,,,
1741,1.639,0.963,0.895,,,
1742,1.652,1.008,0.94,,,
1743,1.828,1.172,1.092,,,
1744,1.62,0.943,0.872,,,
1745,1.644,1.008,0.935,,,
1746,1.695,1.031,0.968,,,
1747,1.708,1.124,1.056,,,
1748,1.58,0.896,0.827,,,
1749,1.672,1.036,0.963,,,
1750,1.74,1.076,1.007,,,
1751,1.752,1.147,1.076,,,
1752,1.615,0.923,0.859,,,
1753,1.652,0.98,0.907,,,
1754,1.608,0.98,0.912,,,
1755,1.74,1.067,1.003,,,
1756,1.483,0.872,0.796,,,
1757,2.019,1.408,1.344,,,
1758,1.731,1.059,0.991,,,
1759,1.491,0.812,0.74,,,
1760,1.435,0.804,0.74,,,
1761,1.543,0.928,0.864,,,
1762,1.611,0.976,0.907,,,
1763,1.5,0.867,0.804,,,
1764,1.5,0.859,0.796,,,
1765,1.796,1.147,1.079,,,
1766,1.379,0.756,0.687,,,
1767,1.447,0.816,0.751,,,
1768,1.555,0.908,0.843,,,
1769,1.728,1.06,1.,,,
1770,1.48,0.839,0.772,,,
1771,1.576,0.875,0.811,,,
1772,1.508,0.851,0.783,,,
1773,1.731,1.076,1.012,,,
1774,1.523,0.895,0.819,,,
1775,1.484,0.864,0.8,,,
1776,1.648,0.988,0.923,,,
1777,1.783,1.115,1.043,,,
1778,1.596,0.975,0.908,,,
1779,1.728,1.059,0.988,,,
1780,1.511,0.88,0.804,,,
1781,1.98,1.307,1.236,,,
1782,1.632,1.,0.923,,,
1783,1.619,1.003,0.928,,,
1784,1.887,1.236,1.163,,,
1785,1.74,1.043,0.971,,,
1786,1.703,1.035,0.959,,,
1787,1.727,1.036,0.963,,,
1788,1.932,1.256,1.179,,,
1789,1.64,0.987,0.912,,,
1790,1.72,1.048,0.975,,,
1791,1.867,1.192,1.115,,,
1792,1.768,1.072,1.,,,
1793,1.68,1.,0.924,,,
1794,1.743,1.083,1.008,,,
1795,1.799,1.175,1.107,,,
1796,1.768,1.079,1.003,,,
1797,1.727,1.031,0.959,,,
1798,1.735,1.023,0.96,,,
1799,1.836,1.18,1.108,,,
1800,1.672,0.943,0.872,,,
1801,1.7,1.003,0.927,,,
1802,1.743,1.059,0.983,,,
1803,1.884,1.215,1.135,,,
1804,1.596,0.944,0.875,,,
1805,1.615,0.991,0.915,,,
1806,1.764,1.064,0.991,,,
1807,1.839,1.16,1.087,,,
1808,1.875,1.144,1.072,,,
1809,1.567,0.932,0.855,,,
1810,1.615,0.991,0.928,,,
1811,1.62,0.964,0.891,,,
1812,2.076,1.375,1.307,,,
1813,1.624,0.983,0.907,,,
1814,1.611,0.975,0.899,,,
1815,1.66,1.024,0.951,,,
1816,1.923,1.231,1.16,,,
1817,1.74,1.048,0.976,,,
1818,1.764,1.048,0.972,,,
1819,2.471,1.187,1.119,,,
1820,1.687,0.963,0.892,,,
1821,1.668,0.968,0.895,,,
1822,1.895,1.168,1.091,,,
1823,1.923,1.199,1.124,,,
1824,1.74,1.056,0.98,,,
1825,1.763,1.096,1.028,,,
1826,1.951,1.248,1.172,,,
1827,1.74,1.016,0.94,,,
1828,1.648,0.987,0.911,,,
1829,1.908,1.195,1.124,,,
1830,1.827,1.168,1.096,,,
1831,1.672,1.019,0.947,,,
1832,1.799,1.076,1.003,,,
1833,1.936,1.211,1.136,,,
1834,1.74,1.079,1.,,,
1835,1.723,1.011,0.94,,,
1836,1.807,1.084,1.007,,,
1837,1.819,1.171,1.096,,,
1838,1.811,1.079,1.008,,,
1839,1.683,1.019,0.948,,,
1840,1.675,1.016,0.944,,,
1841,1.872,1.135,1.059,,,
1842,1.923,1.207,1.131,,,
1843,1.72,1.008,0.935,,,
1844,1.784,1.087,1.019,,,
1845,1.764,1.076,1.003,,,
1846,1.98,1.259,1.188,,,
1847,1.692,1.019,0.947,,,
1848,1.836,1.099,1.023,,,
1849,1.955,1.208,1.128,,,
1850,1.719,1.043,0.968,,,
1851,1.796,1.051,0.98,,,
1852,1.824,1.107,1.035,,,
1853,1.988,1.291,1.22,,,
1854,1.707,1.048,0.968,,,
1855,1.696,1.039,0.963,,,
1856,1.692,1.036,0.96,,,
1857,1.943,1.223,1.144,,,
1858,1.735,1.028,0.955,,,
1859,1.836,1.112,1.036,,,
1860,2.055,1.307,1.223,,,
1861,1.672,1.,0.916,,,
1862,1.803,1.072,0.995,,,
1863,1.783,1.072,0.996,,,
1864,1.967,1.255,1.175,,,
1865,1.768,1.019,0.947,,,
1866,1.836,1.135,1.056,,,
1867,2.008,1.323,1.251,,,
1868,1.848,1.108,1.035,,,
1869,1.683,1.,0.923,,,
1870,1.755,1.059,0.988,,,
1871,2.,1.296,1.216,,,
1872,1.623,0.923,0.847,,,
1873,1.848,1.127,1.056,,,
1874,1.852,1.183,1.104,,,
1875,1.847,1.072,0.991,,,
1876,1.768,1.059,0.984,,,
1877,1.895,1.132,1.051,,,
1878,1.892,1.18,1.103,,,
1879,1.751,1.079,1.003,,,
1880,1.663,0.983,0.907,,,
1881,1.86,1.119,1.048,,,
1882,1.983,1.248,1.172,,,
1883,1.847,1.132,1.056,,,
1884,1.859,1.127,1.051,,,
1885,1.872,1.111,1.036,,,
1886,1.935,1.244,1.167,,,
1887,1.683,0.968,0.896,,,
1888,1.748,1.056,0.984,,,
1889,1.752,1.088,1.008,,,
1890,2.052,1.307,1.235,,,
1891,1.851,1.107,1.023,,,
1892,1.827,1.112,1.039,,,
1893,2.064,1.312,1.228,,,
1894,1.756,1.004,0.928,,,
1895,1.703,1.015,0.932,,,
1896,1.824,1.08,1.008,,,
1897,2.067,1.299,1.22,,,
1898,1.867,1.099,1.028,,,
1899,1.788,1.048,0.968,,,
1900,1.995,1.307,1.231,,,
1901,1.812,1.087,1.011,,,
1902,1.963,1.211,1.124,,,
1903,1.971,1.279,1.207,,,
1904,1.755,1.036,0.963,,,
1905,1.796,1.039,0.963,,,
1906,2.127,1.367,1.292,,,
1907,1.672,0.972,0.888,,,
1908,1.88,1.115,1.043,,,
1909,1.795,1.084,1.004,,,
1910,2.132,1.339,1.268,,,
1911,1.852,1.083,1.011,,,
1912,1.859,1.128,1.055,,,
1913,2.016,1.299,1.216,,,
1914,1.775,1.091,1.016,,,
1915,1.872,1.123,1.051,,,
1916,1.784,1.067,0.988,,,
1917,1.947,1.256,1.183,,,
1918,1.736,1.039,0.963,,,
1919,1.912,1.16,1.08,,,
1920,2.528,1.788,1.703,,,
1921,2.104,1.336,1.263,,,
1922,1.771,1.007,0.932,,,
1923,1.864,1.155,1.072,,,
1924,2.087,1.311,1.231,,,
1925,1.859,1.059,0.984,,,
1926,1.824,1.112,1.036,,,
1927,2.115,1.344,1.268,,,
1928,1.788,1.092,1.015,,,
1929,1.852,1.108,1.028,,,
1930,2.056,1.299,1.22,,,
1931,1.827,1.031,0.956,,,
1932,1.912,1.135,1.064,,,
1933,1.716,1.012,0.943,,,
1934,2.255,1.448,1.371,,,
1935,1.903,1.139,1.059,,,
1936,1.804,1.099,1.024,,,
1937,2.087,1.336,1.256,,,
1938,1.84,1.091,1.011,,,
1939,1.788,1.035,0.96,,,
1940,1.912,1.192,1.115,,,
1941,1.9,1.115,1.036,,,
1942,1.791,1.071,0.996,,,
1943,1.923,1.144,1.072,,,
1944,2.12,1.331,1.259,,,
1945,1.703,0.996,0.919,,,
1946,1.888,1.115,1.043,,,
1947,1.791,1.092,1.019,,,
1948,2.115,1.336,1.259,,,
1949,1.699,0.991,0.919,,,
1950,1.923,1.144,1.067,,,
1951,1.936,1.152,1.079,,,
1952,2.284,1.467,1.387,,,
1953,1.847,1.06,0.98,,,
1954,1.827,1.084,1.011,,,
1955,2.028,1.248,1.176,,,
1956,1.92,1.144,1.068,,,
1957,1.895,1.147,1.052,,,
1958,1.871,1.144,1.072,,,
1959,2.139,1.336,1.259,,,
1960,1.759,1.072,0.988,,,
1961,1.807,1.099,1.028,,,
1962,2.004,1.284,1.207,,,
1963,1.827,1.1,1.023,,,
1964,1.923,1.152,1.08,,,
1965,2.031,1.256,1.18,,,
1966,2.22,1.436,1.355,,,
1967,1.807,1.099,1.019,,,
1968,1.928,1.147,1.076,,,
1969,2.059,1.323,1.251,,,
1970,1.807,1.039,0.968,,,
1971,1.888,1.144,1.067,,,
1972,1.996,1.263,1.188,,,
1973,2.096,1.268,1.192,,,
1974,1.932,1.135,1.056,,,
1975,2.067,1.283,1.208,,,
1976,2.119,1.384,1.304,,,
1977,1.855,1.1,1.028,,,
1978,1.776,1.003,0.932,,,
1979,1.887,1.148,1.072,,,
1980,1.819,0.995,0.923,,,
1981,1.736,0.967,0.9,,,
1982,1.72,0.976,0.903,,,
1983,1.919,1.172,1.104,,,
1984,1.788,1.008,0.935,,,
1985,1.759,1.011,0.943,,,
1986,1.988,1.2,1.124,,,
1987,1.744,0.976,0.903,,,
1988,1.788,1.015,0.943,,,
1989,2.167,1.332,1.251,,,
1990,1.667,0.915,0.839,,,
1991,1.703,0.995,0.915,,,
1992,1.775,0.996,0.92,,,
1993,1.923,1.195,1.128,,,
1994,1.768,1.,0.927,,,
1995,1.731,0.971,0.896,,,
1996,1.988,1.223,1.148,,,
1997,1.804,1.003,0.927,,,
1998,1.832,1.052,0.98,,,
1999,2.048,1.24,1.163,,,
2000,1.723,0.951,0.879,,,
2001,1.823,1.004,0.932,,,
2002,1.979,1.2,1.127,,,
2003,1.864,1.06,0.98,,,
2004,1.807,1.039,0.963,,,
2005,1.884,1.084,1.004,,,
2006,1.963,1.195,1.124,,,
2007,1.804,1.019,0.947,,,
2008,1.812,1.024,0.951,,,
2009,2.124,1.323,1.247,,,
2010,1.768,0.955,0.884,,,
2011,1.748,0.991,0.915,,,
2012,1.748,1.008,0.928,,,
2013,2.084,1.24,1.168,,,
2014,1.84,1.023,0.951,,,
2015,1.827,1.039,0.963,,,
2016,2.515,1.74,1.667,,,
2017,1.816,1.004,0.927,,,
2018,1.735,0.951,0.879,,,
2019,1.751,0.975,0.9,,,
2020,1.951,1.208,1.128,,,
2021,1.751,1.004,0.927,,,
2022,1.796,1.019,0.944,,,
2023,1.923,1.172,1.096,,,
2024,1.791,1.008,0.932,,,
2025,1.819,1.028,0.951,,,
2026,1.895,1.079,1.008,,,
2027,2.064,1.215,1.144,,,
2028,1.751,0.991,0.915,,,
2029,1.811,0.995,0.923,,,
2030,1.88,1.107,1.027,,,
2031,1.971,1.176,1.104,,,
2032,1.755,1.016,0.944,,,
2033,1.831,1.023,0.951,,,
2034,2.083,1.264,1.192,,,
2035,1.844,0.988,0.916,,,
2036,1.847,1.064,0.987,,,
2037,2.043,1.236,1.163,,,
2038,1.748,0.971,0.896,,,
2039,1.779,1.02,0.943,,,
2040,2.052,1.259,1.179,,,
2041,1.751,1.008,0.935,,,
2042,1.844,1.036,0.956,,,
2043,1.951,1.156,1.08,,,
2044,2.088,1.304,1.228,,,
2045,1.776,0.991,0.912,,,
2046,1.859,1.056,0.971,,,
2047,1.996,1.196,1.119,,,
2048,1.912,1.068,0.991,,,
2049,1.867,1.039,0.968,,,
2050,1.759,1.003,0.932,,,
2051,1.995,1.22,1.147,,,
2052,1.92,1.051,0.98,,,
2053,1.807,1.04,0.968,,,
2054,2.096,1.279,1.199,,,
2055,1.74,0.98,0.9,,,
2056,1.859,1.055,0.98,,,
2057,2.079,1.259,1.18,,,
2058,1.884,1.08,1.003,,,
2059,1.855,1.044,0.971,,,
2060,2.236,1.416,1.336,,,
2061,1.748,0.988,0.911,,,
2062,1.847,1.072,0.995,,,
2063,2.127,1.244,1.167,,,
2064,1.888,1.076,1.,,,
2065,1.816,1.044,0.971,,,
2066,2.711,1.887,1.812,,,
2067,1.707,0.923,0.852,,,
2068,1.884,1.036,0.959,,,
2069,2.115,1.288,1.207,,,
2070,1.852,1.052,0.971,,,
2071,1.855,1.003,0.927,,,
2072,2.055,1.264,1.187,,,
2073,1.819,1.,0.92,,,
2074,1.807,1.039,0.968,,,
2075,2.016,1.119,1.04,,,
2076,2.159,1.288,1.211,,,
2077,1.855,1.032,0.955,,,
2078,1.899,1.08,1.,,,
2079,2.152,1.368,1.284,,,
2080,1.824,1.004,0.932,,,
2081,1.932,1.099,1.024,,,
2082,1.796,0.98,0.903,,,
2083,2.268,1.392,1.307,,,
2084,1.824,1.064,0.988,,,
2085,1.847,1.052,0.971,,,
2086,2.035,1.24,1.159,,,
2087,1.864,1.039,0.96,,,
2088,2.,1.115,1.039,,,
2089,1.968,1.111,1.032,,,
2090,2.099,1.295,1.208,,,
2091,1.884,1.056,0.971,,,
2092,1.884,1.076,0.996,,,
2093,2.08,1.268,1.183,,,
2094,1.927,1.091,1.012,,,
2095,1.916,1.067,0.996,,,
2096,2.147,1.259,1.183,,,
2097,1.944,1.079,1.,,,
2098,1.916,1.067,0.992,,,
2099,2.275,1.42,1.344,,,
2100,1.891,1.084,1.008,,,
2101,1.923,1.096,1.019,,,
2102,2.103,1.299,1.215,,,
2103,1.823,1.015,0.94,,,
2104,1.912,1.103,1.019,,,
2105,2.824,1.972,1.892,,,
2106,1.799,0.984,0.903,,,
2107,1.936,1.092,1.008,,,
2108,2.195,1.375,1.296,,,
2109,1.775,0.996,0.923,,,
2110,1.967,1.107,1.028,,,
2111,2.339,1.443,1.363,,,
2112,1.936,1.092,1.011,,,
2113,1.892,1.076,1.,,,
2114,2.371,1.496,1.415,,,
2115,2.051,1.232,1.152,,,
2116,2.056,1.203,1.124,,,
2117,3.227,2.311,2.223,,,
2118,2.044,1.208,1.124,,,
2119,1.967,1.167,1.084,,,
2120,2.336,1.5,1.42,,,
2121,2.192,1.284,1.196,,,
2122,2.375,1.471,1.391,,,
2123,2.327,1.443,1.359,,,
2124,2.192,1.259,1.18,,,
2125,2.083,1.223,1.136,,,
2126,2.415,1.512,1.427,,,
2127,2.092,1.275,1.188,,,
2128,3.128,2.267,2.179,,,
2129,2.483,1.607,1.519,,,
2130,2.188,1.275,1.184,,,
2131,2.008,1.16,1.076,,,
2132,2.523,1.587,1.508,,,
2133,2.255,1.344,1.26,,,
2134,2.903,2.019,1.931,,,
2135,2.304,1.463,1.376,,,
2136,1.992,1.188,1.096,,,
2137,2.003,1.175,1.088,,,
2138,2.347,1.491,1.407,,,
2139,2.255,1.332,1.239,,,
2140,2.184,1.34,1.255,,,
2141,2.383,1.524,1.439,,,
2142,2.079,1.192,1.108,,,
2143,2.304,1.384,1.296,,,
2144,2.46,1.507,1.416,,,
2145,2.235,1.332,1.243,,,
2146,2.144,1.299,1.211,,,
2147,2.579,1.683,1.596,,,
2148,2.264,1.336,1.251,,,
2149,2.38,1.423,1.335,,,
2150,2.571,1.576,1.487,,,
2151,2.288,1.364,1.275,,,
2152,2.124,1.275,1.192,,,
2153,2.467,1.536,1.448,,,
2154,2.175,1.28,1.188,,,
2155,2.228,1.32,1.235,,,
2156,2.456,1.507,1.423,,,
2157,2.111,1.223,1.139,,,
2158,2.304,1.36,1.263,,,
2159,2.472,1.503,1.416,,,
2160,2.42,1.483,1.396,,,
2161,2.284,1.367,1.28,,,
2162,2.347,1.412,1.324,,,
2163,2.48,1.615,1.523,,,
2164,2.304,1.364,1.28,,,
2165,2.38,1.427,1.344,,,
2166,2.599,1.663,1.579,,,
2167,2.172,1.331,1.239,,,
2168,2.192,1.335,1.251,,,
2169,2.34,1.5,1.411,,,
2170,2.152,1.315,1.231,,,
2171,3.327,2.355,2.271,,,
2172,2.519,1.675,1.588,,,
2173,2.336,1.34,1.256,,,
2174,2.248,1.288,1.2,,,
2175,2.443,1.567,1.483,,,
2176,2.208,1.268,1.18,,,
2177,2.192,1.288,1.199,,,
2178,3.42,2.519,2.427,,,
2179,2.152,1.239,1.152,,,
2180,2.115,1.208,1.115,,,
2181,2.164,1.303,1.215,,,
2182,2.475,1.523,1.435,,,
2183,2.091,1.251,1.168,,,
2184,2.288,1.344,1.248,,,
2185,2.531,1.583,1.496,,,
2186,2.207,1.319,1.231,,,
2187,2.364,1.411,1.324,,,
2188,2.607,1.66,1.572,,,
2189,2.135,1.268,1.18,,,
2190,3.152,2.244,2.148,,,
2191,2.592,1.671,1.579,,,
2192,2.128,1.28,1.187,,,
2193,2.188,1.292,1.207,,,
2194,2.491,1.559,1.463,,,
2195,2.192,1.251,1.163,,,
2196,2.983,2.135,2.052,,,
2197,2.407,1.536,1.447,,,
2198,2.124,1.215,1.119,,,
2199,2.264,1.288,1.195,,,
2200,2.471,1.547,1.46,,,
2201,2.156,1.263,1.168,,,
2202,2.315,1.432,1.339,,,
2203,2.536,1.635,1.543,,,
2204,2.28,1.351,1.251,,,
2205,2.32,1.432,1.344,,,
2206,2.7,1.695,1.608,,,
2207,2.195,1.267,1.179,,,
2208,2.236,1.364,1.271,,,
2209,2.531,1.564,1.48,,,
2210,2.239,1.288,1.204,,,
2211,3.38,2.387,2.296,,,
2212,2.62,1.652,1.559,,,
2213,2.364,1.364,1.271,,,
2214,2.251,1.316,1.223,,,
2215,2.663,1.679,1.596,,,
2216,2.376,1.42,1.327,,,
2217,3.231,2.336,2.244,,,
2218,2.628,1.632,1.543,,,
2219,2.24,1.344,1.259,,,
2220,2.256,1.335,1.248,,,
2221,2.547,1.632,1.536,,,
2222,2.215,1.316,1.228,,,
2223,2.307,1.327,1.236,,,
2224,2.755,1.799,1.711,,,
2225,2.42,1.427,1.34,,,
2226,2.404,1.452,1.359,,,
2227,2.571,1.652,1.559,,,
2228,2.248,1.331,1.232,,,
2229,2.4,1.396,1.307,,,
2230,2.715,1.683,1.587,,,
2231,2.096,1.152,1.071,,,
2232,2.184,1.26,1.167,,,
2233,2.119,1.223,1.139,,,
2234,2.356,1.46,1.372,,,
2235,2.132,1.148,1.055,,,
2236,2.144,1.211,1.132,,,
2237,2.331,1.443,1.359,,,
2238,2.044,1.108,1.019,,,
2239,2.007,1.112,1.023,,,
2240,2.468,1.483,1.4,,,
2241,2.087,1.172,1.084,,,
2242,2.159,1.199,1.112,,,
2243,2.391,1.42,1.327,,,
2244,2.023,1.115,1.028,,,
2245,2.152,1.175,1.079,,,
2246,2.332,1.403,1.315,,,
2247,2.163,1.188,1.103,,,
2248,2.115,1.2,1.115,,,
2249,2.367,1.463,1.375,,,
2250,2.076,1.159,1.068,,,
2251,2.019,1.123,1.036,,,
2252,2.012,1.119,1.031,,,
2253,2.42,1.539,1.443,,,
2254,2.059,1.132,1.044,,,
2255,2.096,1.184,1.096,,,
2256,2.299,1.364,1.275,,,
2257,2.063,1.179,1.092,,,
2258,2.192,1.179,1.099,,,
2259,2.115,1.204,1.119,,,
2260,2.299,1.392,1.299,,,
2261,2.088,1.184,1.104,,,
2262,2.124,1.175,1.096,,,
2263,2.943,2.027,1.943,,,
2264,2.056,1.092,1.008,,,
2265,2.036,1.135,1.052,,,
